MM Index|Meaning|Type|Explanation|Rules|Example|Opposite|Synonym|
721|thin, slender, fine|Ai|Used to describe road widths, people, etc.||546||usui|
722|tight|Ai||||yurui||
723|ugly, hard on the eyes|Ai||||rippa||
724|uncomfortable|Ai||||kaiteki||
725|unthinkable, unexpected, outrageous, offensive|Ai||||||
726|absolutely not, not at all, far from it, impossible, preposterous, bullshit, no way|CE||||||
727|unusual, rare, curious, weird|Ai|||573|||
728|vacant, futile, vain, void, empty, ineffective, lifeless|Ai||||||
729|vexing, annoying, frustrating, regrettable, mortifying|Ai||||||
730|violent, vehement, intense, furious, tempestuous|Ai||||||
731|visible, understandable, easy on the eyes, easy to see, beautiful, pretty|Ai|||513|imoshinai||
732|wanted (to want)|Ai|Verb-based, linked to object by "ga" when used with desu verb.||577, 1374|||
733|warm|Ai|||527, 1303|suzushii, samui, tsumetai|atsui|
734|warm (weather), hot (weather)|Ai|Used for weather and general heat.||529|suzushii, samui, tsumetai|atatakai|
735|weak, feeble|Ai||||tsuyoi, joubu|yowai, hiyowai, hiyowa yurui, usui, yawai, nayocchii, kasuka, hijaku, yawa|
736|weak, frail, delicate, tender, unskilled|Ai|||521|tsuyoi, joubu|hiyowai, hiyowa, yowacchii, yurui, usui, yawai, nayocchii, kasuka, hijaku, yawa|
737|weak, frail, slender, feminine|Ai||||tsuyoi, joubu|yowai, hiyowai, hiyowa, yowacchii, yurui, usui, yawai, kasuka, hijaku, yawa|
738|weak, sickly|Ai||||tsuyoi, joubu|yowai, hiyowa, yowacchii, yurui, usui, yawai, nayocchii, kasuka, hijaku, yawa|
739|weird, disgusting, sickening|Ai||||||
740|white|Ai|||188|||
741|wide, broad, spacious|Ai|||518|semai||
742|wise, clever, smart|Ai||||||
743|wonderful|Ai||||||
744|yellow|Ai|||578|||
745|young|Ai|||560, 561|furui|atarashii|
746|absent-mindedly|AM||||||
747|soft, fluffy|Ana||||||
748|again and again, repeatedly|AM||||||
749|alone|AM|||1286|futari de, issho ni, minna de||
750|anyhow, at any rate, anyway, somehow or other, generally speaking, in any case|AM||||||
751|anyhow, at any rate, anyway, somehow or other, generally speaking, in any case|AM|||1390|||
752|arbitrarily, of its own accord, involuntarily, wilfully, willfully, as one pleases|AM||||||
753|arduously, diligently, industriously|AM||||||
754|bad, evil|AM||||||
755|badness, evilness|NACF||||||
756|both|AM||||hitori de|issho ni, minna de|
757|by all means, at any cost, no matter what|AM||||||
758|by oneself|AM||||||
759|carefreely, leisurely|AM||||||
760|carefully, cautiously|AM||||||
761|carelessly, thoughtlessly, inadvertently|AM||||||
762|clearly, plainly, distinctly|AM||||||
763|completely, entirely|AM||||||
764|constantly, always, continually, steadily|AM||||||
765|crunchily, munchily|AM||||||
766|damply, moistly|AM||||||
767|deliberately, carefully, without rushing|AM||||||
768|diligently, seriously, earnestly, reliably, steadily, legitimately, perfectly, properly, exactly, orderly, punctually, regularly, sufficiently, satisfactorily, quickly|AM||||||
769|dimly, vaguely, indistincly, faintly, abentmindedly, vacantly, carelessly, idly, aimlessly|AM||||||
770|fool, blockhead, dunce|NPe||||||
771|disappointedly, dejectedly|AM||||||
772|distantly, far|AM|||221|||
773|duly, naturally|AM||||||
774|easily, readily, quickly|AM||||||
775|every way|AM||Always followed by affirmative verb.||||
776|no way|AM||Always followed by negative verb.||||
777|thanks, thank you|CE||||||
778|everyone together|AM|||635|hitori de|futari de, issho ni|
779|fairly, impartially, justly|AM||||||
780|firmly, tightly, reliably, steadily, |AM||||||
781|firm, tight, reliable, steady, level-headed|Ana||||||
782|firmness, tighness, reliability, level-headedness, steadiness|NACF||||||
783|foolishly, stupidly, idiotically, absurdly, ridiculously|AM||||||
784|for one's self, personally|AM||||||
785|freely|AM|||629|||
786|glitterlingly, sparklingly|AM||||||
787|glitter, sparkle, twinkle|NAc||||||
788|gradually, progressively, little by little, by degrees|AM|||654|||
789|grandly, boldly, confidently, fairly, squarely, unreservedly, without apology, without hesitation|AM||||||
790|magnificient, grand, impressive, dignified, majestic, imposing, stately, fair, square, open|Sa||||||
791|happily|AM||||||
792|hastily, hurriedly|AM||||||
793|honestly, frankly|AM||||||
794|honest, integrous, frank|Ana||||||
795|honesty, integrity, frankness|NACF||||||
796|horizontally|AM||||||
797|implicitly|AM||||||
798|in this way, thus, as such|AM||||||
799|irrespective, without discrimination, without distinction|AM||||||
800|leisurly, by taking time, slowly, restful, at ease|AM|||625|||
801|like that (over there)|AM||||||
802|like this|AM||Use as response to "dou".|741|||
803|luckily, fortunately|AM||||||
804|happy, blessed, lucky, fortunate, felicious|Ana||||||
805|happiness, blessedness, luck, fortune, felicity|NACF||||||
806|meanderingly, wnderingly, windingly, sinuously|AM||||||
807|forever, endlessly, on and on|AT||||||
808|newly, anew|AM||||||
809|newly, freshly|AM||||||
810|new, fresh, novel|Ana|||||atarashii|
811|nonchalantly, without a care|AM||||||
812|on good terms, or cordial terms, getting along well with, happily, peacefully|AM||||||
813|on purpose|AM||||||
814|one by one, separately, every single, each and every|AM||||||
815|originally, primarily, essentially, naturally, properly, legally|AM||||||
816|original, primary|NACF||||||
817|ploppingly, splashingly, tumblingly|AM|Onomatopeia|||||
818|precisely, accurately|AM||||||
819|precisely, accurately, neatly|AM|||1345, 1346|||
820|prettily|AM||||||
821|pullingly, stretchingly, with tension|AM||||||
822|quietly, calmly, gently, peacefully|AM||||||
823|really, truly|AM||||||
824|really, truly|AM||||||
825|scatteredly, dispersedly, loosely, disconnectedly, in pieces, in drops, rustlingly|AM||||||
826|scattered, disperse, loose, disconnected, in pieces, in drops, rustling|Ana||||||
827|separately, individually|AM||||||
828|skillfully, aptly, well, cleverly|AM|||||yoku, yoroshiku, jouzu ni|
829|slowly, late|AM||||hayaku||
830|slowly, quietly, gradually, gingerly|AM||||||
831|soon, momentarily, before long, any time now|AT|Mainly used to refer to an event that will be related to the subject of the sentence (usually a person).||1382||sugu|
832|slurpingly (noodles)|AM||||||
833|softly, gently, quietly, secretly|AM||||||
834|somehow|AM|||1414, 1415, 1416|||
835|soundly (asleep), fast (asleep)|AM||||||
836|stealthily, secretly|AM||||||
837|strongly|AM||||||
838|suddenly, all of a sudden|AM||||||
839|suddenly, unexpectedly, abruptly|AM|||626||totsuzen|
840|thus, in this way|AM||||||
841|tighly, closely, exactly, precisely, suddenly stopping, perfectly suited, ideally|AM||||||
842|time and time again, many times, a number of times|AM||||||
843|turning round and round, going around in circles, wrapped around|AM||||||
844|unexpectedly, surprisingly|AM||||||
845|unintentionally, reflexively, spontaneously, involuntarily, instinctively|AM||||||
846|unintentionally, unconciously, by mistake, against one's better judgment|AM||||||
847|quite (near)|AP||||||
848|just (now)|AT||||||
849|very hard, with utmost effort|AM|||1353|||
850|very hard, desperately hard, with utmost effort|Ana||||||
851|vividely, lively|AM||||||
852|well, proficiently|AM|||628||yoku, yoroshiku, umaku|
853|well, properly, suitably|AM|||||yoku, jouzu ni, umaku|
854|well, skillfully, properly|AM|||630, 102, 1269||umaku, yoroshiku, jouzu ni|
855|often, much, frequently|AT|||662|||
856|willingly|AM||||||
857|with trouble, at great pains, long-awaited|AM|||1386|||
858|(too) late, belated treatment|Ana||||||
859|being (too) late, belated treatment|NACF||||||
860|absolute|Ana||||||
861|absurd, unreasonable, excessive, rash, nonsensical|Ana||||||
862|absurdity, nonsense|NACF||||||
863|accurate, punctual, exact, authentic, veracious|Ana||||||
864|advanced, high-grade, strong|Ana||||||
865|anxious, insecure, uneasy, in suspense|Ana||||||
866|anxiety, uneasiness, insecurity, suspense|NACF||||||
867|apprearing like, seeming to be, being pregnant with|Ana||||||
868|appropriate, suitable, proper, adequate, fit, noncommital, vague, equivocal, unserious, irresponsible|Ana||||futekisetsu||
869|at one's own convenience, in one's own way|Ana||||||
870|automatic|Ana||||||
871|bad, inferior, delinquent, failing, defective|Ana||||||
872|badness, inferiority, delinquency, failure, defect, blemish|NACF||||||
873|barefoot|Ana||||||
874|big, great, grand, large, greater, upper, senior|Ana|||596|||
875|bloodstained, bloody|Ana||||||
876|bright red, deep red, flushed (of face), downright (e.g. lie), complete, utter|Ana||||||
877|bright red, deep red|NCo||||||
878|carefree, buoyant, lighthearted, sprightly|Ana||||||
879|ease|NACF||||||
880|careless, stupid, thoughless, heedles, unobservant, inadvertant, incautious|Ana||||||
881|certain, reliable, sound|Ana||||||
882|certainty, reliability, soundness|NACF||||||
883|certain, sure, definite|Ana||||||
884|I'm quite sure that, if I'm not mistaken, if I remember correctly|CE||||||
885|certainty, sure fact|NACF||||||
886|clean, hygenic, sanitary, pure, virtuous, immaculate|Ana||||||
887|colourless, colorless, achromatic|Ana||||||
888|complex, complicated|Ana|||590|kantan||
889|convenient, useful, comfortable, handy|Ana|||363|fuguai||
890|dangerous, risky, hazardous, perilous, precarious|Ana||||||
891|danger, peril, hazard|NACF||||||
892|dazzling, ecstatic, delirious, engrossing, dreamy|Ana||||||
893|daze, trance, ecstasy, delirium, engrossment, dreamlike state|NACF||||||
894|deeply emotional|Ana||||||
895|deep emotion, one's mind is filled with thousand emotions|NACF||||||
896|deplorable, unlucky, regretful, disappointing|Ana||||||
897|bad luck, regret, disappointment|NACF||||||
898|desperate, hopeless|Ana||||||
899|diligent, serious, honest, sober, grave, earnest, steady|Ana||||||
900|disliked, least favorite, hated, unfond|Ana|Verb-based, linked to object by "ga" when used with desu verb.||618|suki, daisuki|daikirai|
901|eager, earnest, risking one's life|Ana|||504|||
902|eagerness, earnestness, risking one's life|NACF||||||
903|easy, comfortable|Ana|||593|taihen, muzukashii, nukui|yasashii|
904|comfort, ease|NACF||||||
905|equal, even, on par, matched|Ana||||||
906|equality, evenness, par, good match|NACF||||||
907|equal, impartial, even|Ana||||||
908|equality, impartiality, evenness|NACF||||||
909|exactly, just, right|Ana|||283|||
910|exquisite, superb, perfect, miraculous|Ana||||||
911|exquisiteness, superbness, perfectness, miraculousness|NACF||||||
912|faint, dim, weak, indistinct, hazy, poor, wretched|Ana||||tsuyoi, joubu|yowai, hiyowai, hiyowa, yowacchii, yurui, usui, yawai, nayocchii, hijaku, yawa|
913|fair, impartial, just|Ana||||||
914|fairness, impartiality, justice|NACF||||||
915|famous|Ana|||420, 1360|||
916|fame|NACF||||||
917|feeble, faint, weak|Ana||||tsuyoi, joubu|yowai, hiyowai, hiyowa, yowacchii, yurui, usui, yawai, nayocchii, kasuka, yawa|
918|firm, unshakeable, resolute|Ana||||||
919|fixed, settled, constant, definite, uniform, regularized, regularised, defined, standardized, standardised, certain, prescribed|Ana||||||
920|constance, certainty, standard|NACF||||||
921|fluttery|Ana||||||
922|clip-clop, clippety-clop|OI||||||
923|foolish, stupid|Ana||||||
924|foolishness, stupidity|NACF||||||
925|foolish, stupid, idiotic, absurd, ridiculous, dull, trivial|Ana|||617|||
926|fool, idiot|NPe||||||
927|frantic, desperate|Ana||||||
928|inevitable death, brinkmate (inevitable checkmate)|NACF||||||
929|free (available), not busy, slow (of one's business)|Ana|||584|isogashii|jiyuu|
930|spare time, free time, leisure, time off, day off, vacation, holiday, leave, quitting (one's job), firing someone, divorcing (one's spouse)|NACF|||74|||
931|free (from confinement), unbound, unrestricted, in control|Ana||||不健康|hima|
932|freedom, liberty|NACF||||||
933|fresh|Ana||||||
934|full|Ana||||||
935|full, in plently, ample|Ana||||||
936|full, to capacity|Ana||||||
937|funny, amusing, comical, laughable, ridiculous, strange, odd, peculiar, weird, unusual, eccentric, improper, unsuitable, unbecoming, suspicious|Ana||||||
938|futile, useless, pointless|Ana||||||
939|futility, uselessness, pointlessness|NACF||||||
940|general, universal, ordinary, average, common|Ana||||||
941|ghastly, gruesome, appalling, lurid|Ana||||||
942|glittering, sparkling|Ana||||||
943|glitter, sparkle|NACF||||||
944|great|Ana||||hidoi||
945|greatness|NACF||||||
946|green|Ana||||||
947|grim, stern, stark, heartless|Ana||||||
948|handsome|Ana||||||
949|handy, simple and easy|Ana||||||
950|happy, fortunate, lucky, blessed|Ana||||||
951|happiness, good fortune, luck, blessing|NACF|||166|||
952|hateful, unlikable, unpleasant, detestable, disagreeable|Ana|||609|||
953|healthy, fine, all right, energetic|Ana|||585, 586|byouki, fukenkou|kenkouteki, joubu|
954|energy, stamina, vitality, vim, spirit, courage, pep, vigor, vigour, health|NACF||||||
955|healthy, robust, strong, solid, durable, firm|Ana|||611|fukenkou|daijoubu|
956|healthy, sound, wholesome|Ana||||||
957|high, noble, refined, advanced|Ana||||||
958|highest, supreme, the most|Ana||||||
959|high-speed, high-gear|Ana||||||
960|huge, gigantic, enormous|Ana||||||
961|hygenic, healthy, healthful, sanitary|Ana||||fukenkou, byouki|genki, joubu|
962|identical, same, similar, equal|Ana||||||
963|identity, sameness, similarity, equality, fairness|NACF||||||
964|immediate, direct|Ana||||||
965|soon, in a short time, before long, shortly, immediately, right away, fast|AT|||669, 670, 1364||sorosoro|
966|important, momentous, essential, principal, major|Ana||||||
967|important, valuable|Ana|||136||daiji|
968|important, valuable, serious|Ana|||600||taisetsu|
969|impossible|Ana||||||
970|imprudent, quick tempered|Ana||||||
971|imprudence, quick temper|NACF||||||
972|in a good mood, in high spirits, happy, cheerful, merry, chipper|Ana||||||
973|humour, humor, temper, mood, spirits, safety, health, well-being, one's situation|NACF|Honorific language.|||||
974|in high spirits|Ana||||||
975|inconvenient|Ana||||benri||
976|inconvenient, inexpedient, unhandy|Ana|||608|||
977|inconvenience, inexpediency, unhandiness|NACF||||||
978|indiscriminate|Ana||||||
979|indiscrimination|NACF||||||
980|infantile, childish|Ana||||||
981|infancy, infantility|NACF||||||
982|insane, mad, crazy, light in the head|Ana||||||
983|invincible, unrivaled, unrivalled|Ana||||||
984|irregular, unsteady, disorderly|Ana||||||
985|irregularity, unsteadiness, disorder|NACF||||||
986|japanese-style|Ana||||||
987|kind, gentle|Ana|||598|yasashii|fushinsetsu|
988|kindness, gentleness|NACF||||||
989|large (grain, drop)|Ana||||||
990|large grain, large drop|NACF||||||
991|light, easy, not serious, minor|Ana||||||
992|liked, fond|Ana|Verb-based, linked to object by "ga" when used with desu verb.||507|kirai, daikirai|daisuki|
993|lively, bustling, busy|Ana|||601, 1413|||
994|long (time since the last time)|Ana||||||
995|a long time (since the last time), it's been a while (since I last saw, mailed, etc., you)|NACF||||||
996|long-term|Ana||||||
997|lovely, dreamy, beautiful, great, fantatic, superb, cool, capital|Ana||||||
998|luxurious, extravagant|Ana|||1264|||
999|luxury, extravagance|NACF||||||
1000|magnificent, splendid, fine, handsome, elegant, imposing, prominent, legal, legitimate|Ana|||599|minikui||
1001|malicious, ill-tempered, unkind|Ana||||||
1002|maximum, extreme, utmost|Ana||||||
1003|curvature|NMSE||||||
1004|modern|Ana||||||
1005|mysterious, baffling, inexplicable, incomprehensible, puzzling|Ana||||||
1006|mystery, inexplicable fact, incomprehensible fact|NACF||||||
1007|mysterious, puzzling, strange|Ana||||||
1008|wonder, miracle, mystery, marvel, curiosity|NACF||||||
1009|national|Ana||||||
1010|natural, as a matter of course|Ana||||||
1011|natural, reasonable, obvous, usual, common, ordinary|Ana||||||
1012|necessary, needed, essential, indispensable|Ana|||1325|||
1013|necessity, need, requirement|NACF||||||
1014|no good, useless, broken, hopeless, wasted, in vain, not serving its purpose, not allowed, forbidden|Ana|||616|||
1015|of due form, official, formal|Ana||||||
1016|due form, officiality, formality|NACF||||||
1017|only, merely, (a) little|Ana||||||
1018|small quantity|NACF||||||
1019|opposition, resistance, antagonism, hostility, contrast, objection, dissension, reverse, opposite, vice versa|Ana||||||
1020|opposition, resistance, antagonism, hostility, contrast, objection, dissension, reverse, opposite, vice versa|NACF||||||
1021|over, exceeding, beyond|Ana||||||
1022|overcoat|NAt||||||
1023|overweight, fat, obese|Ana||||||
1024|overwhelming|Ana||||||
1025|painful, agonizing, bitter|Ana||||||
1026|pain, agony, bitterness|NACF||||||
1027|peaceful, tranquil, calm, restful|Ana||||||
1028|perfect, complete, flawless|Ana||||||
1029|physiological, physiologic|Ana||||||
1030|plain, frank, candid, open, direct, straightforward, unabashed, blatant, flagrant|Ana||||||
1031|pleasant, agreeable, comfortable|Ana||||ochisukanai||
1032|pleasant, happy|Ana||||||
1033|polite, courteous, careful, kind, thorough, conscientious|Ana|||594|shitsurei||
1034|political|Ana||||||
1035|poor at, weak in, not very good at|Ana||||||
1036|dislike|NACF||||||
1037|poor, destitute|Ana|||615|okanemochi|mazushii|
1038|poor person|IES||||||
1039|poverty, destitution|NACF||||||
1040|poorly-built, weak, insubstantial|Ana||||tsuyoi, joubu|yowai, hiyowai, hiyowa, yowacchii, yurui, usui, yawai, nayocchii, kasuka, hijaku|
1041|popular|Ana|||560|||
1042|popularity, popular feeling, business conditions|NACF||||||
1043|popular, prosperous, enthusiastic, energetic, vigorous|Ana||||||
1044|possible, potential, feasible, practicable|Ana||||||
1045|pouty, unpleasant, sullen, moody|Ana||||||
1046|displeasure, ill humor, ill humour, sullenness|NACF||||||
1047|powerful, strong|Ana||||tsuyoi||
1048|precise, accurate|Ana||||||
1049|pretty, lovely, beautiful, fair, clean, clear, pure, tidy, neat|Ana|||595, 1263|||
1050|pulpy, soppy, sloppy|Ana||||||
1051|questionable, doubtful, suspicious|Ana||||||
1052|quiet, peaceful|Ana|||587, 1275|urusai||
1053|quite right, plausible, natural, believable|Ana||||||
1054|rapid|Ana||||||
1055|rare, curious, strange|Ana||||||
1056|raw, fresh, uncooked, natural, unprocessed, unprotected (ie. Not wearing a condom), live (not recorded), inexperienced, unpolished, green, crude, unpasteurized|Ana|||605|||
1057|raw, uncooked, fresh, natural, as is, unedited, unprocessed, live (ie. not recorded), inexperienced, unpolished, green, crude, unpasteurized|Ana||||||
1058|just a little, somehow, vaguely, partially, somewhat, half-, semi-, irresponsibly, half-baked|Px||||||
1059|regrettable, unsatisfactory|Ana||||||
1060|regrettable, vexing, upsetting, unthinkable, wholly unexpected|Ana||||||
1061|remaining, fraction of, incomplete|Ana||||||
1062|remnant, fragment, incomplete set, fraction, odd sum, incompleteness|NACF||||||
1063|representative, exemplary, model|Ana||||||
1064|rich|Ana|||466|mazushii, binbou||
1065|ride, impolite, discourteous|Ana|||614|teinei||
1066|impoliteness, rudeness, discourtesy|NACF|||112|||
1067|rude, impolite, disrespectful, impertinent|Ana||||||
1068|rudeness, impoliteness, disrespect, impertinence|NACF||||||
1069|safe, all right, okay, OK|Ana|||612|fukenkou|joubu|
1070|safe, secure|Ana|||588|abunai||
1071|safety, security|NACF||||||
1072|same, identical, equal, uniform, equivalent, similar, common (origin), changeless, alike|Ana|||606|||
1073|satisfied|Ana||||||
1074|satisfaction|NACF||||||
1075|sufficiency|NMSE||||||
1076|serious|Ana||||||
1077|serious, important, significant, grave, weighty|Ana||||||
1078|similar|Ana|Used colloquially.|||||
1079|simple, convenient, easy|Ana||||||
1080|simplicity, convenience, easiness, quasi-|NACF||||||
1081|simple, easy, brief, straightforward, uncomplicated|Ana|||589|fukuzatsu, taihen||
1082|simple, easy, brief, uncomplicated, straightforward|Ana|||604|||
1083|skilled, skillful, proficient|Ana|Verb-based, linked to object by "ga" when used with desu verb.||367, 620|heta||
1084|skill, dexterity|NACF||||||
1085|skinny|Ana||||||
1086|slight, little, insignificant|Ana||||||
1087|small, little, tiny|Ana|Only used in adj. + na + noun form||597|||
1088|smart, clever, witty, strange|Ana||||||
1089|flavor, flavour, taste, charm, style, experience|NACF||||||
1090|soft|Ana||||||
1091|so-so|Ana||||||
1092|special|Ana|||1255, 1325|futsuu||
1093|specialness|NACF||||||
1094|spiritual, incorporeal|Ana||||||
1095|splendid, magnificent, beautiful, admirable, praiseworthy|Ana||||||
1096|praiseworthy act, feat, commendable deed|NAc||||||
1097|stingy, miserly, penny-pinching, cheesparing, shabby, cheap, mangy, poor, petty, narrow-minded, quibbling, mean-spirited|Ana||||||
1098|miser, pinchpenny, skinflint, cheapskate, tightwad, niggard, bad luck, ill omen, glitch|NACF||||||
1099|straight (ahead), direct, upright, erect, straightforward, honest, frank|Ana|||607|||
1100|strange, abnormal, disorderly|Ana||||||
1101|strangeness, abnormality, disorder|NACF||||||
1102|strange, odd, peculiar, weird, curious, queer, eccentric, funny, suspicious, fishy, unexpected|Ana|||602|||
1103|weird|IES||||||
1104|strange, unusual, unconventional, weird|Ana||||||
1105|something strange, something unusual|NACF||||||
1106|strange, unusual, unconventional, weird, qeer, curious|Ana||||||
1107|strange, unusual, unconventional, weird, superb, excellent|Ana||||||
1108|something superb, something excellent|NACF||||||
1109|tastful, delicious, umami|Ana||||||
1110|tedious, boring|Ana||||||
1111|tedium, boredom|NACF||||||
1112|thankful, grateful|Ana||||||
1113|thanks, gratitude|NACF||||||
1114|thin (of paper, cloth, etc), weak-bodied|Ana||||||
1115|tiny, little, wee|Ana|Alternative form of "chiisai".|||||
1116|traditional, conventional|Ana||||||
1117|tranquil, calm, quiet, peaceful|Ana||||||
1118|tremendous, immense, enormous|Ana||||||
1119|ultimate, extreme, final, eventual|Ana||||||
1120|unemployed, without an occupation|Ana||||||
1121|unexpected, surprising|Ana||||||
1122|unhealthy|Ana||||joubu|yowai, hiyowai, hiyowa, yowacchii|
1123|poor health, ill health|NACF||||||
1124|unjust, unfair, unequal, improper, irregular, dishonest, illegal, fraudulent|Ana||||||
1125|injustice, unfairness, iniquity, impropriety, irregularity, dishonesty, illegality, fraud|NACF||||||
1126|unkind, unfriendly|Ana||||shinsetsu|yasashii|
1127|unkindness, unfriendliness|NACF||||||
1128|unlucky, unfortunate|Ana||||||
1129|bad luck, misfortune, fate|NACF||||||
1130|unpleasant, uncomfortable|Ana||||||
1131|displeasure, discomfort|NACF||||||
1132|unreasonable, impossible, overdone|Ana||||||
1133|unreasonable, irrational, outrageous, absurd|Ana||||||
1134|unrelated|Ana||||||
1135|unskilled, unskillful, poor|Ana|Verb-based, linked to object by "ga" when used with desu verb.||621|jouzu||
1136|lack of skill, awkwardness, poor skill|NACF||||||
1137|unsuitable, inappropriate, improper|Ana||||tekitou||
1138|untrained, hack|Ana||||||
1139|quack (fake or untrained doctor)|NPe||||||
1140|urgent, pressing|Ana||||||
1141|emergency|NACF||||||
1142|urgent, sudden, abrupt, sharp, steep, precipitous, rapid, swift, fast|Ana||||||
1143|various|Ana|||603, 1296, 1298|||
1144|very disliked (to dislike very much), hated|Ana|Verb-based, linked to object by "ga" when used with desu verb.|||suki, daisuki|kirai|
1145|very liked (to like very much), loved|Ana|Verb-based, linked to object by "ga" when used with desu verb.||619|kirai, daikirai|suki|
1146|weak (organization)|Ana||||||
1147|weak, delicate, sickly|Ana||||tsuyoi, joubu|yowai, hiyowai, yowacchii, yurui, usui, yawai, nayocchii, kasuka, hijaku, yawa|
1148|wicked, evil|Ana||||||
1149|wicked, evil, profligate, immoral|Ana||||||
1150|wise, intelligent, prudent|Ana||||||
1151|wisdom, intelligence, prudence|NACF||||||
1152|worried, concerned, anxious, caring, helpful, assistive|Ana|||610|||
1153|worry, concern, anxiety, care, help, aid, assistance|NACF||||||
1154|zealous, enthusiastic|Ana||||||
1155|enthusiasm, zeal|NACF||||||
1156|at the beginning (of an event)|AO|||685||mazu|
1157|first action, initial action|AO|||684|||
1158|first of all, to start with|AO|||||hajime wa|
1159|first of all, to start with, to begin with, originally|AO||||||
1160|firstly, foremost|AO||||||
1161|first, foremost, number one|NACF||||||
1162|next, following, subsequent|AO|||657, 658|saki||
1163|previous, prior, former, preceding, ahead, in front|AO||||tsugi||
1164|before|Sx|e.g. renrakusaki (before making a reservation)|||||
1165|above, over|AP||||shita||
1166|top|NPl|||434|shita||
1167|anywhere|AP|||740|||
1168|behind|AP||||mae||
1169|back|NPl|||439|mae, temae||
1170|below, under|AP||Also used with "no".|655|ue||
1171|bottom|NPl||||ue||
1172|everywhere|AP||Always followed by affirmative verb.||||
1173|from afar, over a great distance, all the way|AP||||||
1174|here|AP|ME#0025;0026|||||
1175|in front|AP||||ushiro||
1176|before, previously, ago|AT|||667|||
1177|front|NPl|||435|ushiro|temae|
1178|inside|AP||||soko||
1179|inside, center|NPl|||349|||
1180|next to|AP|||656|||
1181|neighbor|NACF||||||
1182|nowhere|AP||Always followed by negative verb.|739|||
1183|opposite side|AP||||||
1184|outside|AP||||naka||
1185|outside|NPl|||440|uchi, inai||
1186|over there|AP|ME#0029;0030|||||
1187|somewhere, someplace|AP||||||
1188|somwhere, anywhere|AP|||738|||
1189|there|AP|ME#0027;0028|||||
1190|a few times|AT||||||
1191|a long time ago|AT||||||
1192|olden days, former|NT|||1263|||
1193|abruptly, suddenly, unexpectedly, all at once|AT|||||kyuu ni, tozzen|
1194|after a long time|AT|||1411|||
1195|after this, from now on, hereafter, thereafter|AT||||||
1196|again|AT|||668|||
1197|again, anew|AT||||||
1198|again, once more, a second time|AT||||||
1199|all day|AT||||||
1200|all day and night|AT||||||
1201|all day long, all the day, throughout the day|AT||||||
1202|all night long|AT||||||
1203|all night long|AT|||1303|||
1204|all year round|AT||||||
1205|all year, year round|AT||||||
1206|alreaady, a while ago|AT||||||
1207|already, too late|AT||||||
1208|always, all the time|AT||||||
1209|whole year, all year round, throughout the year|NACF||||||
1210|always, constantly|AT||||||
1211|always, constantly, frequently, often|AT||||||
1212|always, usually|AT||Always followed by affirmative verb.|443, 1263, 1358|||
1213|never|AT||Always followed by negative verb.||||
1214|any hour, all hours|AT|||744|||
1215|anyday|AT|||745|||
1216|anytime|AT|||743|||
1217|around a specific point in time|AT|||671|||
1218|at once, immediately, directly, in person, automatically|AT||||||
1219|at that time, in those days|AT||||||
1220|barely, narrowly, hardly, only just|AT||||||
1221|finally, at last|AT||||||
1222|gradually, little by little, by degrees|AT||||||
1223|before the week is out, before the week is over, within the week, sometime this week|AT||||||
1224|beforehand|AT||||||
1225|continuously, throughout, all along, the whole time, all the way|AT||||||
1226|far away, far off, long ago|AT||||||
1227|much, by far|AT|||673|||
1228|straight, direct|AT||||||
1229|day after tomorrow|AT|||288|||
1230|the day after tomorrow|NT|||277|||
1231|early|AT|Usually means "early-ish", a bit less early than hayaku.|||||
1232|early, quickly|AT|||672, 1294, 1295|osoku||
1233|every day|AT|||748|||
1234|every day, daily|AT||||||
1235|every evening, every night|AT|||750, 1410|||
1236|every hour, hourly|AT||||||
1237|every month|AT|||758|||
1238|every morning|AT|||749|||
1239|every week|AT|||755|||
1240|every year|AT|||763|||
1241|finally, at last, in the end|AT||||||
1242|first time (doing something)|AT|||683|||
1243|for a long time|AT||||||
1244|for some years|AT||||||
1245|from now on, after this|AT||||||
1246|immediately, at once, directly, shortly, soon, right away, promptly|AT|||686||chikaku, sassoku|
1247|immediately, at once, directly, shortly, soon, right away, promptly|AT|||687||sugu ni, chikaku|
1248|in the end|AT||||||
1249|just about to, on the verge of|AT||||||
1250|just then|AT||||||
1251|just when one is…|AT||||||
1252|last month|AT|||756|||
1253|last week|AT|||752|||
1254|last year|AT|||759|||
1255|later|AT||||||
1256|later on, eventually, afterwards|AT|More formal version of "ato de".||||ato de|
1257|long ago, a long time ago, already|AT||||||
1258|many times over, often|AT||||||
1259|never|AT||||||
1260|next month|AT|||758|||
1261|next week|AT|||754|||
1262|next year|AT|||761|||
1263|not yet, still|AT|ME#0031;0032|||mou||
1264|now|AT|||664|||
1265|now (after such a long time), at this late hour (ie. too late for something)|AT||||||
1266|now, at this time, lately|AT||||||
1267|now, this time, next time, another time|AT|||1412|||
1268|on any date|AT||||||
1269|on some date|AT||||||
1270|one time|AT||||||
1271|presently, right away, right now, just now|AT||||||
1272|(I have returned) just now, I'm back|CE|||1183|||
1273|quick|AT|Usually means "quick-ish", a bit less quick than hayaku.|||||
1274|quickly|AT|Used colloquially.|||||
1275|rapidly, steadily in time, one after another, all at once|AT|||||one after the other|
1276|drumming noise|OI||||||
1277|recently, lately, nowadays|AT|||||saikin|
