ID|Example Romaji|Example Kanji|Example English|Example French|Example Spanish|
630|watashi wa toukyou wo yoku shiteiru kedo kyouto wo yoku shirimasen.|私は東京をよく知るけど京都をよく知りません。|I know Tokyo well but I don't know Kyoto that well.|Je connais bien Tokyo mais je ne connais pas Kyoto tellement bien.|Conozco Tokio bien pero no conozco Kyoto muy bien.|
631||||||
632|maissu wa dono kurai desu ka? Maissu wa sanmai gurai desu.|枚数はどの位ですか？　三枚ぐらいです。|How many sheets are there approximately? There are about 3 sheets.|Combien de feuilles y a-t-il à peu près? Il y a environ 3 feuilles.|¿Cuántas hojas hay aproximadamente? Hay alrededor de 3 hojas.|
633||||||
634|daitai onaji imi desu.|大体同じ意味です。|It almost has the same meaning.|Ça a presque la même signification.|Eso casi tiene el mismo significado.|
635||||||
636||||||
637|totemo ureshii desu.|とても嬉しいです。|I'm very happy.|Je suis très heureux.|Estoy muy feliz.|
638||||||
639||||||
640||||||
641||||||
642||||||
643||||||
644|mou kekkou desu.|もう結構です。|Some more is fine.|Un peu plus est bon.|Algunos más es fina.|
645|mou ippai biiru wo nomimasu.|もう一倍ビルを飲みます。|I am drinking one more beer.|Je suis en train de boire encore une bière.|Estoy bebiendo una cerveza más.|
646|okane wa taisetsu dakara kenkou wa motto taisetsu desu.|お金は大切だから健康はもっと大切です。|Money is important but (being) good is more important.|L'argent est important mais (être) bon est plus important.|El dinero es importante, pero (ser) bueno es más importante.|
647|motto ookii hondana wo kaitai desu.|もっと大きい本棚を買いたいです。|I want to buy more large bookshelves.|Je veux acheter plus de grandes étagères.|Quiero comprar más grandes estanterías.|
648||||||
649|kanojo wa benkyou bakari shiteiru.|彼女は勉強ばかりしている。|She is always studying.|Elle étudie toujours.|Ella siempre está estudiando.|
650|kanojo wa kouen ni bakari ikimasu.|彼女は公園にばかり行きます。|She always goes to the park.|Elle va toujours au parc.|Ella siempre va al parque.|
651|ringo shika tabenai.|リンゴしか食べない。|He doesn't eat anything except for apples.|Il ne mange rien sauf des pommes.|No come nada excepto manzanas.|
652|konojo ni ikkai shika aiteimasen.|彼女に一回しか会っていません。|I have met her but once.|Je ne l'ai rencontré qu'une fois.|Yo la he conocido solamente una vez.|
653|mondai wa zenbu muzukashii desu.|問題は全部難しいです。|All the problems are difficult.|Tous les problèmes sont difficiles.|Todos los problemas son difíciles.|
654||||||
655||||||
656||||||
657|tsugi no kousaten no atari de tomete kudasai.|次の降参店の辺りで止めてください。|Please stop near the next intersection.|S'il vous plaît arrêtez près de la prochaine intersection.|Por favor, deje cerca de la intersección siguiente.|
658|tsugi no kado wo migi ni magatte kudasai.|次の角を右に曲がってください。|Please turn right at the next corner.|S'il vous plaît, tournez à droite au virage suivant.|Por favor, gire a la derecha en la siguiente esquina.|
659|hoka ni aitai tokoro ga arimasu ka.|ほかに痛いところがありますか?|Does it hurt in another place?|Est-ce que ça fait mal à un autre endroit?|¿Le duele en un otro lugar?|
660|hoka ni dareka kimasu ka?|ほかにだれか来ますか？|Did anyone else come?|Est-ce que quelqu'un d'autre est venu?|Ha venido alguien más?|
661|onaka no hoka ni aitai tokoro wa arimasen.|おなかのほかに痛いところはありません。|Other than my stomach, it does not hurt in any place.|Apart mon estomac, je n'ai mal à aucun aure endroit.|Aparte de mi estómago, no duele en cualquier otro lugar.|
662||||||
663||||||
664||||||
665|basu wa mou sugu kimasu.|バスはもうすぐ来ます。|The bus will be coming in just a moment.|Le bus va venir dans un instant.|El autobús va a venir en un momento.|
666|eiga wa mou sugu hajimarimasu.|映画はもうすぐ始まります。|The movie will start very soon.|Le film commencera très bientôt.|La película comenzará muy pronto.|
667||||||
668||||||
669|sugu nette shiteimasen ka?|すぐねってしていませんか?|Don't you fall asleep immediately?|Ne vous vous endormez pas immédiatement?|¿No se queda dormido inmediato?|
670|kono kanji wa kantan na node sugu oboeraremasu.|この漢字は下端なのですぐ覚えられます。|This kanji is easy so I can remember it fast.|Ce kanji est facile, donc je peux m'en rappeler rapidement.|Este kanji es fácil, por lo que puedo recordarlo rápido.|
671||||||
672||||||
673||||||
674|shukudai wa owarimashita ka? Mada desu.|宿題を終わりましたか？　未だです。|Did you finish your homework? Not yet.|Avez-vous terminé vos devoirs? Pas encore.|¿Ha terminado la tarea? Aún no.|
675|sono eiga wo mada mimasen deshita.|その映画をまだ見ませんでした。|I didn't see that movie yet.|Je n'ai pas encore vu ce film.|No he visto esa película todavía.|
676|sono eiga wo mou mimashita ka?|その映画をもう見ましたか？|Did you see that movie already?|Avez-vous vu ce film déjà?|¿Ya has visto esa película?|
677|mou owarimashita.|もう終わりました。|I have already finished.|J'ai déjà terminé.|Ya he terminado.|
678||||||
679|chichi wa metta ni nichi youbi ni gaishutsu suru koto wa nai.|父は滅多に日曜日に外出することはない。|My father rarely, if ever, goes out on Sundays.|Mon père rarement, sinon jamais, sort le dimanche.|Mi padre rara vez, o nunca, sale los domingos.|
680|kyou wa amari isogashiku arimasen.|今日はあまり忙しくありません。|I won't be very busy today.|Je ne serai pas très occupé aujourd'hui.|No voy a estar muy ocupado hoy.|
681|amari hon wo yomimasen.|あまり本を読みません。|I don't read books often.|Je ne lis pas de livres souvent.|No leo libros a menudo.|
682||||||
683||||||
684||||||
685||||||
686||||||
687||||||
688|teeburu no yokode hanashiteiru futari donata desu ka?|てーぶるの横手話している二人どなたですか？|Who are the two people speaking next to the table?|Qui sont les deux personnes qui parlent à côté de la table?|¿Cuáles son las dos personas hablando al lado de la mesa?|
689||||||
690||||||
691|dono hon wo kaimasu ka?|どの本を買いますか？|Which book will you buy?|Quel livre acheterez-vous?|¿Quál libro comprara Usted?|
692|watashi no koohii wa dore desu ka?|私のコーヒーはどれですか？|Which one is my coffee?|Lequel est mon café?|¿Cuál es mi café?|
693||||||
694|doko kara kimashita ka?|どこから来ましたか？|Where did you come from?|D'où viens-tu?|¿De donde vienes?|
695|kono kanji ga dou kakimasu ka? kou kakimasu.|この漢字がどう書きますか?こう書きます。|How do you write this kanji? This is how you write it.|Comment écrivez-vous ce kanji? Voici comment vous l'écrivez.|¿Cómo se escribe este kanji? Así es como se escribe.|
696|eiga wa dou desu ka?|映画はどうですか？|How was the movie?|Comment était le film?|¿Como estuvo la pelicula?|
697|eiga wa ikaga desu ka?|映画はいかがですか？|How was the movie?|Comment était le film?|¿Como estuvo la pelicula?|
698|sono inu wa nanto iu desu ka? beruto to iu desu.|その犬は何というですか？ベルトというです。|What is that dog's name? It's called Bert.|Quel est le nom de ce chien? Il s'appele Bert.|¿Cuál es el nombre de ese perro? Se llama Bert.|
699|ringo ga ikutsu arimasu ka?|林檎がいくつありますか?|How many apples are there?|Combien de pommes y a-t-il?|¿Cuantas manzanas hay?|
700|ringo ga ikutsu arimasu ka?|林檎が何個ありますか?|How many apples are there?|Combien de pommes y a-t-il?|¿Cuantas manzanas hay?|
701||||||
702||||||
703||||||
704||||||
705|sono inu wa nanto iu inu desu ka? puudoru to iu inu desu.|その犬は何という犬ですか？プードルという犬です。|What is that dog called? That's called a poodle.|Comment est appelé ce chien? Ça s'appelle un caniche.|¿Cómo se llama ese perro? Eso se llama un caniche.|
706|ano mise wa nanto iu namae desu ka?|あの店は何という名前ですか?|What is the name of that store?|Quel est le nom de ce magasin?|¿Cuál es el nombre de esa tienda?|
707||||||
708|kochira wa donata desu ka?|こちらはどなたですか？|Who is this?|Qui est-ce?|¿Quien es?|
709||||||
710||||||
711||||||
712||||||
713|sono kamera wa ii desu ne?|そのカメラはいいですね？|This camera is good, isn't it?|Cet appareil photo est bon, non?|Esta cámara es buena, ¿verdad?|
714|sore wa nan no hon desu ka?|それは何の本ですか？|What is that book?|Qu'est-ce ce livre?|¿Cuál es ese libro?|
715|ano hito wa dare desu ka?|あの人はだれですか?|Who is that person over there?|Qui est cette personne là-bas?|¿Quién es esa persona allí?|
716|are wa nan desu ka?|あれは何ですか?|What is that over there?|Qu'est-ce que c'est là-bas?|¿Que es eso de alla?|
717|nanika tabemashou.|何か食べましょう。|We should eat something.|Nous devrions manger quelque chose.|Debemos comer algo.|
718|shuumatsu nanika shimasu ka?|週末何かしますか？|Are you doing anything this weekend?|Faites-vous quelque chose ce week-end?|¿Vas a hacer algo este fin de semana?|
719|dono jishou ga ii desu ka? donodemo ii desu.|どのじしょうがいいですか？どのでもいいです。|Which dictionary is good? Any dictionary is good.|Quel dictionnaire est bon? Tout dictionnaire est bon.|Cuál diccionario es bueno? Cualquier diccionario es bueno.|
720|dono jishou ga ii desu ka? dono jishou demo ii desu.|どのじしょうがいいですか？どの自称でもいいです。|Which dictionary is good? Any dictionary is good.|Quel dictionnaire est bon? Tout dictionnaire est bon.|Cuál diccionario es bueno? Cualquier diccionario es bueno.|
721||||||
722|konna ni chiisai rajio wo mimashita.|こんなにラジオを見ました。|I saw a radio that's this small.|J'ai vu une radio petite comme ça.|Vi un radio que es tan pequeño.|
723|konna ni takusan kaimashita.|こんなにたくさん買いました。|I bought this much.|J'ai acheté autant.|He comprado este mucho.|
724|konna ni ookii raketto wo hajimete mimashita. Tenisu raketto wa donna ni ookikutemo ii desu.|こんなに大きいラケットを始めてみました。テニスラケットはどんなに大きくてもいいです。|At first I saw a big racket just like this one. It doesn't matter how big a tenis racket is, just how good it is.|Au début, j'ai vu une grande raquette comme celle-ci. Peu importe la taille d'une raquette de tenis, seulement à celle point elle est bonne.|Al principio vi una raqueta grande como éste. No importa lo grande que es una raqueta de tenis, solamente lo bueno que es.|
725|sonna ni chiisai rajio wo arimasu ka?|こんなに小さいラジオがありますか？|Is there a radio that small?|Y at-il une radio tellement petite?|¿Hay una radio tan pequeña?|
726|sonna ni chiisakatta n desu ka?|そんなに小さかったんですか？|It was that small, eh?|Ç'était tellement petit, hein?|Era tan pequeño, ¿eh?|
727|kono hon wa muzukashisou desu. Iie, sonna ni muzukashikunai desu.|この本は難しそうです。いいえ，そんなに難しくないです。|This book looks difficult. No, it's not that difficult. (not difficult to that extent)|Ce livre semble difficile. Non, ce n'est pas aussi difficile. (Pas difficile dans cette mesure)|Este libro se ve difícil. No, no es tan difícil. (No es difícil en esa medida)|
728||||||
729|konna ni ookii raketto wo hajimete mimashita. Tenisu raketto wa donna ni ookikutemo ii desu.|こんなに大きいラケットを始めてみました。テニスラケットはどんなに大きくてもいいです。|It's the first time I saw a racket as big as this. It doesn't matter how big a tenis racket is, but how good it is.|Ç'est la première fois que j'ai vu une raquette aussi grande. Peu importe la taille d'une raquette de tenis, seulement à celle point elle est bonne.|Es la primera vez que vi una raqueta tan grande. No importa lo grande que es una raqueta de tenis, solamente lo bueno que es.|
730|konna ni muzukashii kanji wo hajimete mimashita. Kanji wa donna ni muzukashikutemo suki desu.|こんなに難しい漢字を恥じえてみました。漢字はどんなに難しくても好きです。|It's the first time I saw a kanji as complicated as this. It doesn't matter how complicated a kanji is, but how you like it.|Ç'est la première fois que j'ai vu un kanjis aussi compliqué. Peu importe la complexité d'un kanjis, mais plus à quel point vous l'aimez.|Es la primera vez que vi un kanji tan complicado. No importa lo complicado que es un kanji, pero como le gusta.|
731|konna ni kirei na umi wo hajimete mimashita. Umi ha donna ni kirei demo ki wo ktsukete kudasai.|こんなにきれいな海を始めてみました。海はどんなにきれいでも気を付けてください。|It's the first time I saw a sea as beautiful as this. It doesn't matter how beautiful the sea is, please be careful.|Ç'est la première fois que j'ai vu une mer aussi belle. Peu importe la beauté de la mer, s'il vous plaît soyez prudent.|Es la primera vez que vi un mar tan bello como este. No importa lo bonito es el mar, por favor tenga cuidado.|
732|donna ryouri ga ii desu ka? donnademo ii desu.|どんな料理がいいですか？どんなでもいいです。|Which kind of cuisine is good? Any kind of cuisine is good.|Quel type de cuisine est bon? Tout type de cuisine est bon.|¿Qué tipo de cocina es bueno? Cualquier tipo de cocina es bueno.|
733|donna ryouri ga ii desu ka? donna ryouri demo ii desu.|どんな料理がいいですか？どんな料理でもいいです。|Which kind of cuisine is good? Any kind of cuisine is good.|Quel type de cuisine est bon? Tout type de cuisine est bon.|¿Qué tipo de cocina es bueno? Cualquier tipo de cocina es bueno.|
734|koko wa deguchi desu.|ここは出口です。|The exit is here.|La sortie est ici.|La salida está aquí.|
735|hon wa soko ni arimasu.|本はそこにあります。|The book is there.|Le livre est là-bas.|El libro está allí.|
736|asoko de basu ni norimasu.|あそこでバスに乗ります。|The bus passes over there.|Le bus passe là-bas.|El bus pasa por allí.|
737|iriguchi wa achira desu.|入り口はあちらです。|The entrance is over there.|L'entrée est là-bas.|La entrada es por allí.|
738||||||
739||||||
740||||||
741||||||
742||||||
743||||||
744||||||
745||||||
746||||||
747|ashita denwa shimasu.|明日電話します。|I will call you tomorrow.|Je vais vous appeler demain.|Te llamaré mañana.|
748||||||
749||||||
750|maiban nihongo no benkyou wo shimasu.|毎晩日本語の勉強をします。|I study Japanese every evening.|J'étudie japonaise tous les soirs.|Estudio japonés todas las noches.|
751|konban ame ga furu kamoshiremasen.|今晩雨が降るかもしれません。|The rain might fall this evening.|La pluie pourrait tomber ce soir.|La lluvia podría caer esta noche.|
752||||||
753||||||
754||||||
755||||||
756||||||
757||||||
758||||||
759||||||
760||||||
761||||||
762||||||
763||||||
764||||||
765||||||
766|hon mo noto mo arimasu.|本もノートもあります。|There are both a book and a notebook.|Il y a à la fois un livre et un cahier.|Hay un libro y un cuaderno.|
767||||||
768||||||
769|tsukue no ue ni hon ya noto nado ga arimasu.|つくえの上に本やノートなどがあります。|On top of the table there is a book, a notebook, etc..|Au dessus de la table il y a un livre, un cahier, etc ..|Encima de la mesa hay un libro, un cuaderno, etc ..|
770||||||
771|hachi ji goro no ga arimasu ka?|八時ごろのがありますか？|Is there one (a train departing) at around eight o'clock?|Y at-il un (un train qui partira) à environ huit heures?|¿Hay uno (un tren que sale) en alrededor de ocho?|
772||||||
773||||||
774||||||
775|ryokou ni iku no desu ka.|旅行に行くのですか。|You're going on a trip, aren't you?|Vous allez voyager, non?|Vas a viajar, ¿verdad?|
776|ashita doubutsuen ni iku no da.|明日動物園に行くのだ。|In fact, I am going to the zoo tomorrow.|En fait, je vais au zoo demain.|De hecho, voy al zoológico mañana.|
777|depaato ni ikitai no desu.|デパートに行きたいのです。|In fact, I want to go to the department store.|En fait, je veux aller au grand magasin.|De hecho, yo quiero ir a las grandes almacenes.|
778|kore chuumon shinakatta no desu kedo.|これ注文しなかったのですけど。|But I didn't order this... (milder tone)|Mais je n'ai pas commandé ça ... (ton plus doux)|Pero no he pedido esto ... (tono más suave)|
779|kyou hayaku kaeritai no desu kedo.|今日早く帰りたいのですけど。|I would like to go home today... (and is it ok?)|Je voudrais rentrer à la maison aujourd'hui ... (et est-ce bien?)|Me gustaría ir a casa hoy ... (y está bien?)|
780|ryokou ni iku n desu ka.|旅行に行くんですか。|You're going on a trip, aren't you?|Vous allez voyager, non?|Vas a viajar, ¿verdad?|
781|ashita doubutsuen ni iku n da.|明日動物園に行くんだ。|In fact, I am going to the zoo tomorrow.|En fait, je vais au zoo demain.|De hecho, voy al zoológico mañana.|
782|depaato ni ikitai n desu.|デパートに行きたいんです。|In fact, I want to go to the department store.|En fait, je veux aller au grand magasin.|De hecho, yo quiero ir a las grandes almacenes.|
783|kore chuumon shinakatta n desu kedo.|これ注文しなかったんですけど。|But I didn't order this... (milder tone)|Mais je n'ai pas commandé ça ... (ton plus doux)|Pero no he pedido esto ... (tono más suave)|
784|kyou hayaku kaeritai n desu kedo.|今日早く帰りたいんですけど。|I would like to go home today... (and is it ok?)|Je voudrais rentrer à la maison aujourd'hui ... (et est-ce bien?)|Me gustaría ir a casa hoy ... (y está bien?)|
785|juusu wo nomimasu.|ジュースを飲みます。|I am drinking juice.|Je suis en train de boire du jus.|Estoy bebiendo jugo.|
786|shizen wo mamorukoto wa muzukashii desu.|自然を守ることは難しいです。|The protection of nature is difficult.|La protection de la nature est difficile.|La protección de la naturaleza es difícil.|
787|nohongo wo benkyou surukoto ga tenoshii desu ne.|日本語を勉強することは楽しいですね。|Studying the Japanese language is fun, isn't it?|L'étude de la langue japonaise est amusante, non?|El estudio de la lengua japonesa es divertido, ¿verdad?|
788|uchi wo demasu.|家を出ます。|I'm leaving the house.|Je quitte la maison.|Me voy de la casa.|
789|basu wo orimasu.|バスを降ります。|I'm getting off the bus.|Je suis en train de descendre de l'autobus.|Estoy bajando del autobús.|
790|kore wa juusu.|これはジュース。|This is juice.|C'est du jus.|Este es jugo.|
791|kono hen wa kissaten ga takusan arimasu.|この辺は木佐店がたくさんあります。|As for this area, there are many coffee shops.|Quant à cette zone, il y a beaucoup de cafés.|En cuanto a esta área, hay muchas tiendas de café.|
792||||||
793||||||
794|kozeni wa tsukaeru keredomo osatsu wa tsukaenai.|小銭は使えるけれどもお札は使えない。|I can use small change but I cannot use paper money.|Je peux utiliser de la petite monnaie, mais je ne peux pas utiliser de l'argent de papier.|Puedo utilizar pequeño cambio, pero no puedo usar moneda de papel.|
795|yasui kanji wa kakeru soredemo muzukashii kanji wa kakemasen.|安い感じは書けるそれでも難しい漢字は書けません。|Simple kanjis (are something) I can write but complex kanjis (are something) I can't write.|Les kanjis simples (sont quelque chose) que je peux écrire, mais les kanjis complexes (sont quelque chose) que je ne peux pas écrire.|kanjis simples (son algo) que puedo escribir, pero kanjis complejos (son algo) que no puedo escribir.|
796|kanojo ni wa awanai kedo kare ni wa aimasu.|この序には会わないけど彼には会います。|I'm not meeting her but I am meeting him.|Je ne la rencontre pas mais je le rencontre.|No la estoy encondrando pero lo estoy encondrando.|
797|douro de asobu.|道路で遊ぶ。|Play on the street.|Joue dans la rue.|Juge en la calle.|
798|kono hen de yasumimashou.|この辺で休みましょう。|We should rest in this area.|Nous devons reposer dans ces environs.|Debemos descansar en esta área.|
799||||||
800|kono ningyou wa kami de dekite imasu.|この人形は紙でできています。|This doll is made of paper.|Cette poupée est faite de papier.|Esta muñeca está hecha de papel.|
801|byouki de kaisha wo yasumimashita.|病気で会社を休みました。|I was absent from the company due to an illness.|J'étais absent de la companie en raison d'une maladie.|Estaba ausente de la empresa debido a una enfermedad.|
802||||||
803||||||
804||||||
805|sono hon wa omoshiroi desu yo.|その本はおもしろいですよ。|This book is interesting indeed.|Ce livre est en effet intéressant.|Este libro es en efecto interesante.|
806||||||
807||||||
808|kochira wa donata desu ka?|こちらはどなたですか？|How is that?|Comment c'est?|¿Como es?|
809|kore wa dare da?|これは誰だ？|How is that?|Comment c'est?|¿Como es?|
810||||||
811||||||
812||||||
813|ichigo ga kaitai desu.|イチゴが買いたいです。|I want to buy strawberries.|Je veux acheter des fraises.|Quiero comprar fresas.|
814|dare ga kimashita ka?|誰が来ましたか？|Who came (over)?|Qui est venu?|Quién vino?|
815|suzuki san ga kimasu.|鈴木さんが来ました。|Mrs. Suzuki came (over).|Mme Suzuki est venue.|La señora Suzuki vino.|
816|bsu ga kimashita.|バスが来ました。|The bus has arrived.|Le bus est arrivé.|El autobús ha llegado.|
817|shiken ga shinpai dattara benkyou wo shite kudasai.|試験が心配だったら勉強をしてください。|If the test is worrisome, please study.|Si le test est inquiétant, s'il vous plaît étudiez.|Si la prueba le preocupa, por favor estudie.|
818|ame ga futteiru.|雨が降ってる。|The rain is falling.|La pluie tombe.|La lluvia está cayendo.|
819|oishisou desu ne?|美味しそうですね？|Isn't this tasty eh?|N'est-ce pas délicieux hein?|No es este sabroso eh?|
820|kare wa paati ni kimasu ka? sou desu ne. tabun kimasu.|彼はパーチに来ますか？そうですね。たぶん来ます。|Is he going to the party? Oh well, if that's so. He might come.|il va à la fête? Eh bien, si c'est ainsi. Il pourrait venir.|¿Se va a la fiesta? Bueno, si eso es así. Él podría venir.|
821||||||
822||||||
823|uchi ni imasu.|家にいます。|I am at home.|Je suis à la maison.|Estoy en casa.|
824|hon wa tsukue no ue ni oite kudasai.|ほんは机の上に置いてください。|Put the book on the desk, please.|Placez le livre sur le bureau, s'il vous plaît.|Poner el libro sobre la mesa, por favor.|
825|mainichi gakkou ni ikimasu.|毎日学校に行きます。|I go to school every day.|Je vais à l'école tous les jours.|Voy a la escuela todos los días.|
826|nokorimono wo inu ni yatta.|残り物を犬にやった。|I gave the leftovers to the dog.|J'ai donné les restes au chien.|Le di las sobras al perro.|
827|watashi wa maiasa rokuji ni okimasu.|私は毎朝六時に起きます。|I get up at six every morning.|Je me lève à six heures chaque matin.|Me levanto a las seis cada mañana.|
828||||||
829||||||
830|kaisha wo yameru koto ni kimeta.|会社を辞めることに決めた。|I have decided to quit the company.|J'ai décidé de quitter l'entreprise.|He decidido dejar la compañía.|
831|gaikoku ni tomodachi ni tegami wo kaita.|外国に友達に手紙を書いた。|I wrote a letter to a friend abroad.|J'ai écrit une lettre à un ami à l'étranger.|Escribí una carta a un amigo en el extranjero.|
832||||||
833||||||
834||||||
835|sanpo ni ikimashou.|散歩に行きましょう。|Let's go for a walk.|Allons nous promener.|Vamos a caminar.|
836||||||
837||||||
838||||||
839||||||
840||||||
841|kono kutsu wa watashi ni wa chiisai desu.|この靴は私には小さいです。|These shoes are small on me.|Ces chaussures sont petites sur moi.|Estos zapatos son pequeñas en mí.|
842|kono zubon wa anata ni wa kitsui kamoshirenai desu.|このずぼんはあなたにはきついかもしれないです。|These pants may be tight on you.|Ces pantalons peuvent être serrés sur vous.|Estos pantalones pueden ser apretados en ti.|
843||||||
844||||||
845|watashi wa onaka ga itai desu.|私はお腹が痛いです。|My stomach hurts (As for me, stomach is painful).|J'ai mal à l'estomac (Quant à moi, l'estomac est douloureux).|Me duele el estómago (En cuanto a mí, el estómago es doloroso).|
846|kare wa kuchi ga ookii desu.|彼は口が大きいです。|He as a big mouth (As for him, mouth is big).|Il a une grande bouche (Quant à lui, la bouche est grande).|Él como una gran boca (En cuanto a él, la boca es grande).|
847||||||
848|koohii to koucha to kokoa ga arimasu. nani ni shimasu ka? koohii ni shimasu.|コーヒーとこうちゃとココアがあります。何にしますか?コーヒーにします。|There's coffee, tea or cocoa. Which will it be? I will have coffee.|Il y a du café, du thé ou du chocolat chaud. Que sera-ce? Je vais prendre un café.|Hay café, té o chocolate. ¿Qué será? Voy a tomar un café.|
849||||||
850|shinjuku ni iku basu wa koko kara demasu.|新宿に行くバスはここから出ます。|The bus that goes to Shinjuku exits from here.|Le bus qui va à shinjuku sort d'ici.|El autobús que va a Shinjuku exita desde aquí.|
851|asoko ni tatteiru otoko no ko wa watashi no tomodachi desu.|あそこに立っている男の子は私の友達です。|The boy that is standing over there is my friend.|Le garçon qui se tient là-bas est mon ami.|El niño que está de pie allí es mi amigo.|
852|anata ga notteiru kuruma wa furui desu.|あなたが乗っている車は古いです。|The car that you are driving is old.|La voiture que vous conduisez est vielle.|El coche que usted está conduciendo es viejo.|
853|anata ga tsukatteiru keitai wa benri desu ka?|あなたが使っている形態は便利ですか？|Is the cell phone that you are using convenient?|Est le téléphone cellulaire que vous utilisez pratique?|Es el teléfono celular que está utilizando conveniente?|
854|aketa mama.|開けたまま。|(I) left it open (just as it was).|(Je l'ai) laissé ouvert (comme ça l'était).|(Yo) le dejado abierta (como lo fue).|
855|shinai mama.|しないまま。|I have not done (something), and left it as it was.|Je ne l'ai pas fait (quelque chose), et l'ai lassé comme ça l'était.|No he hecho (algo), y le deja tal que estaba.|
856|iwareru mama.|言われるまま。|Just like (I've) been telling you.|Tout comme (je) vous (l'ai) dit.|Al igual que (he) estado diciendo(le).|
857|genbun on mama.|原文のまま。|As found in the original (source).|Tel que trouvé dans (la source) originale.|Como se encuentra en el (fuente) original.|
858|mukashi no mama.|昔のまま。|The way it used to be.|La façon que c'était avant.|La forma en la que solía ser.|
859|wakai mama.|若いまま。|To stay young.|Rester jeune.|Mantenerse joven.|
860|fuben na mama.|不便なまま。|To remain inconvenient.|Rester incommode.|Seguir siendo inconveniente.|
861|kono mama.|このまま。|Just like this is the way it is.|Comme ça c'est la façon que c'est.|Como eso es la manera que es.|
862|manuaru ni kaitearu touri ni sureba, umaku ikimasu.|マニュアルに書いてあるとおりにすれば、旨くいきます。|If you do it just like the manual says, it'll work.|Si vous le faites comme le manuel le dit, ça va marcher.|Si lo hace al igual que el manual lo dice, va a trabajar.|
863|watashi ga itta touri ni natta deshou?|私が言った通りになったでしょう？|Didn't it come out to be the way I said?|N'est-ce pas conclu de la façon dont je l'ai dit?|No viene a ser la manera en que he dicho?|
864|sono mondai niwa san touri no kotae ga arimasu.|その問題には三通りの答えがあります。|That question has answers in three ways.|Cette question a des réponses de trois façons.|Esa pregunta tiene respuestas en tres puntos.|
865|nonda hou ga ii desu.|飲んだほうがいいです。|It would be best if you drank.|Ça serait mieux si vous buviez.|Sería mejor si bebió.|
866|tabako wo suwanai hou ga ii desu.|タバコを吸わないほうがいいです。|It is best not to smoke tobacco.|Il est préférable de ne pas fumer du tabac.|Lo mejor es no fumar tabaco.|
867|supageti wo tsukuru no wa dono kurai kakarimasu ka?|スパゲティを作るのはどのくらいかかりますか？|How much time does the preparation of spagetti take approximately?|Combien de temps la préparation de spagetti prend environ?|¿Cuánto tiempo la preparación de espagueti toma aproximadamente?|
868|taifuu ga kuru mitai desu.|台風が来るみたいです。|It looks like a Typhoon is coming.|Il semble qu'un typhon arrive.|Se ve como un tifón se acerca.|
869|kono keshiki wa yume mitai desu.|この景色は夢みたいです。|This scenery looks like a dream.|Ce paysage ressemble à un rêve.|Este escenario se ve como un sueño.|
870||||||
871|sengestu tanaka san wa igirisu ni itta sou desu.|先月田中さんはイギリスに行ったそうです。|Mr. Tanaka apparently went to England last month.|M. Tanaka apparemment est allé en Angleterre le mois dernier.|Sr. Tanaka aparentemente fue a Inglaterra el mes pasado.|
872|omoshirosou na hon nanode kaimasu.|面白そうな本なので買います。|This is an interesting-looking book so I will buy it.|Ceci est un livre qui a l'air intéressant donc je vais l'acheter.|Se trata de un libro de aspecto interesante entoncés lo compraré.|
873|kono resutoran wa takasou desu.|このレストランは高そうです。|This restaurant looks expensive.|Ce restaurant a l'air cher.|Este restaurante parece caro.|
874|kinou kanojo wa isogashikatta sou desu.|昨日彼女は忙しかったそうです。|She seemed busy yesterday.|Elle semblait occupée hier.|Parecía ocupada ayer.|
875|aki kyouto wa totemo kirei da sou desu.|秋京都はとてもきれいだそうです。|Kyoto seems very beautiful in autumn.|Kyoto semble très belle à l'automne.|Kioto parece muy bonita en otoño.|
876|takai resutoran da sou desu.|高いレストランだそうです。|This seems to be an expensive restaurant.|Cela semble être un restaurant cher.|Esto parece ser un restaurante caro.|
877|kare wa kuruma wo urisou ni nai desu.|彼は車を売りそうにないです。|He doesn't seem to sell his car.|Il ne semble pas vendre sa voiture.|No parece que vende su coche.|
878|kono mondai wa gakusei ga dekisou mo nai.|この問題は学生が出来そうもない。|It doesn't seem that the students can solve this problem.|Il ne semble pas que les étudiants peuvent résoudre ce problème.|No parece que los estudiantes pueden resolver este problema.|
879|omoshirosou na hon nanode kaimasu.|面白そうな本なので買います。|This book looks interesting so I will buy it.|Ce livre a l'air intéressant donc je vais l'acheter.|Este libro parece interesante así que voy a comprarlo.|
880||||||
881|michi ga nurete imasu. ame ga futta you desu.|道が濡れています。雨が降ったようです。|The street is wet. It seems like it rained.|La rue est humide. Il semble qu'il a plu.|La calle está mojada. Parece que llovió.|
882|ano resutoran wa itsumo konde imasu. ryouri wa oishii you desu.|あのレストランはいつも込んでいます。料理はおいしいようです。|That restaurant is always so crowded. It seems like the food there is delicious.|Ce restaurant est toujours bondé. Il semble que la nourriture y est délicieuse.|El restaurante está siempre lleno de gente. Parece que la comida es deliciosa.|
883|tanaka san wa sakana wo tabemasen. kirai na you desu.|田中さんは魚を食べません。嫌いなようです。|Mr. Tanaka doesn't eat fish. It looks like he doesn't like fish.|M. Tanaka ne mange pas de poisson. Il semble qu'il n'aime pas le poisson.|Tanaka no come pescado. Parece que no le gusta el pescado.|
