KEYWORDS|Roumaji construction|Kana construction|Meaning|Type|Categories|Explanation|Rules|Example|Opposite|Synonym|Extra keywords|
hanamizu ga demasu, 鼻水が出ます, (I) have a runny nose, |hanamizu ga demasu|鼻水が出ます|(I) have a runny nose|Common Expressions||||||||
seki ga demasu, 咳が出ます, (I) have a cough, |seki ga demasu|咳が出ます|(I) have a cough|Common Expressions||||||||
yoko ni naru, 横になる, to lie down (and rest), |yoko ni naru|横になる|to lie down (and rest)|Common Expressions||||||||
kyoumi ga aru, 興味がある, to be interested in something, |kyoumi ga aru|興味がある|to be interested in something|Common Expressions||||||||
nani ni suru, 何にする, what food will you order, |nani ni suru|何にする|what food will you order|Common Expressions||||||||
te to tataku, 手と叩く, to clap hands, clapping hands|te to tataku|手と叩く|to clap hands|Common Expressions|||||||clapping hands|
tabete miru, 食べてみる, to taste, |tabete miru|食べてみる|to taste|Common Expressions||||||||
ichi nichi ni nikai, 一日に二回, twice a day, |ichi nichi ni nikai|一日に二回|twice a day|Common Expressions||||1428||||
kodomo no toki ni, 子供の時に, when I was a child, |kodomo no toki ni|子供の時に|when I was a child|Common Expressions||||||||
kogitte wo genkin ni suru, 小切手を現金にする, to cash a cheque, |kogitte wo genkin ni suru|小切手を現金にする|to cash a cheque|Common Expressions||||||||
dou desu ka, どうですか, how is it, |dou desu ka|どうですか|how is it|Common Expressions||||||||
a, aa, あ, ああ, ah, |a, aa|あ, ああ|ah|Onomatopeia & Interjections||||||||
oo, aa, おお, ああ, oh, |oo, aa|おお, ああ|oh|Onomatopeia & Interjections||||||||
ano, anou, あの, あのう, um, uh, excuse me, well let me see, |ano, anou|あの, あのう|um, uh, excuse me, well let me see|Onomatopeia & Interjections||||||||
uun, うーん, well let me see, |uun|うーん|well let me see|Onomatopeia & Interjections||||||||
ee, えー, well let me see, |ee|えー|well let me see|Onomatopeia & Interjections||||||||
saa, さあ, well..., |saa|さあ|well...|Onomatopeia & Interjections||||||||
ja, jaa, じゃ, じゃあ, then, well, well then, if so, in that case, |ja, jaa|じゃ, じゃあ|then, well, well then, if so, in that case|Onomatopeia & Interjections||||||||
e, えっ, え, oh, |e|えっ, え|oh|Onomatopeia & Interjections||||||||
pakapaka, ぱかぱか, clip-clop, clippety-clop, |pakapaka|ぱかぱか|clip-clop, clippety-clop|Onomatopeia & Interjections||||||||
buun, ブーン, buzzing (e.g. of a bee), |buun|ブーン|buzzing (e.g. of a bee)|Onomatopeia & Interjections||||||||
ee, ええ, yes, |ee|ええ|yes|Onomatopeia & Interjections||||||||
nee, ねえ, oh?, |nee|ねえ|oh?|Onomatopeia & Interjections||Used to express surprise||||||
pon, ポン, thump, |pon|ポン|thump|Onomatopeia & Interjections||||||||
iya, いや, no, |iya|いや|no|Onomatopeia & Interjections||||||||
orooro, おろおろ, panicky disposition, |orooro|おろおろ|panicky disposition|Onomatopeia & Interjections||||||||
hora, ほら, look, |hora|ほら|look|Onomatopeia & Interjections||||||||
maa, まぁ, well, |maa|まぁ|well|Onomatopeia & Interjections||||||||
sate, 扨, well, now, then, |sate|扨|well, now, then|Onomatopeia & Interjections||||||||
nee, ねぇ, right?, |nee|ねぇ|right?|Onomatopeia & Interjections||||||||
nee, ねぇ, oh well, |nee|ねぇ|oh well|Onomatopeia & Interjections||||||||
kedo, けど, well, |kedo|けど|well|Onomatopeia & Interjections||Used as a softener||||||
dewa, では, well then, |dewa|では|well then|Onomatopeia & Interjections||||1232||||
sore dewa, sore ja, 其れでは, 其れじゃ, well then, |sore dewa, sore ja|其れでは, 其れじゃ|well then|Onomatopeia & Interjections||||1233||||
kora, こら, well now, |kora|こら|well now|Onomatopeia & Interjections||||||||
fumu, ふむ, hmm, I see, hrm, |fumu|ふむ|hmm, I see, hrm|Onomatopeia & Interjections||||||||
nandatte, 何だって, what, why, come again, |nandatte|何だって|what, why, come again|Onomatopeia & Interjections||||||||
yoshi, よし, alright, all right, right on, ok, okay, よーし, ようし, yooshi, youshi|yoshi|よし|alright, all right, right on, ok, okay|Onomatopeia & Interjections|||||||よーし, ようし, yooshi, youshi|
kakaka, かかか, woodpecker sound, |kakaka|かかか|woodpecker sound|Onomatopeia & Interjections||||||||
kiki, きき, rat sound, |kiki|きき|rat sound|Onomatopeia & Interjections||||||||
hakkushon, はっくしょん, atchoo, hakushon, sneeze|hakkushon|はっくしょん|atchoo|Onomatopeia & Interjections|||||||hakushon, sneeze|
wanwan, わんわん, dog bark, |wanwan|わんわん|dog bark|Onomatopeia & Interjections||||||||
nyanya, にゃにゃ, cat miaow, |nyanya|にゃにゃ|cat miaow|Onomatopeia & Interjections||||||||
chuuchuu, ちゅうちゅう, mouse sound, |chuuchuu|ちゅうちゅう|mouse sound|Onomatopeia & Interjections||||||||
gao, がお, lion roar, |gao|がお|lion roar|Onomatopeia & Interjections||||||||
miimii, みいみい, cicada sound, |miimii|みいみい|cicada sound|Onomatopeia & Interjections||||||||
guo, ぐお, bear sound, |guo|ぐお|bear sound|Onomatopeia & Interjections||||||||
buun, ぶうん, bee sound, |buun|ぶうん|bee sound|Onomatopeia & Interjections||||||||
moo, もお, cow moo, |moo|もお|cow moo|Onomatopeia & Interjections||||||||
kerokero, けろけろ, frog sound, |kerokero|けろけろ|frog sound|Onomatopeia & Interjections||||||||
hinhin, ひんひん, hourse bray, |hinhin|ひんひん|hourse bray|Onomatopeia & Interjections||||||||
umu, うむ, yeah, uh huh, |umu|うむ|yeah, uh huh|Onomatopeia & Interjections||||||||
yare yare, やれやれ, exclamation of relief or disappointmeny, |yare yare|やれやれ|exclamation of relief or disappointmeny|Onomatopeia & Interjections||||||||
sugee, suggee, すげえ, すっげえ, incredible, unbelievable, すげー, すげぇ, すっげー, すっげぇ|sugee, suggee|すげえ, すっげえ|incredible, unbelievable|Onomatopeia & Interjections|||||||すげー, すげぇ, すっげー, すっげぇ|
yatto, やっと, heave-ho, |yatto|やっと|heave-ho|Onomatopeia & Interjections||||||||
ara, あら, oh really?, |ara|あら|oh really?|Onomatopeia & Interjections||||||||
dondon, どんどん, drumming noise, |dondon|どんどん|drumming noise|Onomatopeia & Interjections||||||||
don, どん, impact noise, |don|どん|impact noise|Onomatopeia & Interjections||||||||
pachipachi, パチパチ, pleasant clapping sound, sound of something bursting open, incessant blinking, |pachipachi|パチパチ|pleasant clapping sound, sound of something bursting open, incessant blinking|Onomatopeia & Interjections||||||||
tsurutsuru, ツルツル, slick, slippery, smooth, sleek, |tsurutsuru|ツルツル|slick, slippery, smooth, sleek|Onomatopeia & Interjections||||||||
patapata, パタパタ, flapping sound, pitter-patter (sound of light footsteps), dealing with a situation quickly, |patapata|パタパタ|flapping sound, pitter-patter (sound of light footsteps), dealing with a situation quickly|Onomatopeia & Interjections||||||||
donburako, どんぶりこ, plop, splash, tumble, |donburako|どんぶりこ|plop, splash, tumble|Onomatopeia & Interjections||||||||
kimochi warui, 気持ち悪い, I feel like vomiting, |kimochi warui|気持ち悪い|I feel like vomiting|Onomatopeia & Interjections||Also used to vulgarily describe someone.||||||
kisama, 貴様, you bastard, you son of a bitch, |kisama|貴様|you bastard, you son of a bitch|Impolite Expressions & Swearwords||||||||
temee, 手前, you, |temee|手前|you|Impolite Expressions & Swearwords||Vulgar, used in expressions of anger.||||||
omae, お前, you, |omae|お前|you|Impolite Expressions & Swearwords||Common expression, can be impolite in certain settings.||||||
shitsuken da yo, しつけーんたよ, leave me alone, |shitsuken da yo|しつけーんたよ|leave me alone|Impolite Expressions & Swearwords||||||||
chikushou, 畜生, チクショウ, son of a bitch, damn it, s***, shit|chikushou|畜生, チクショウ|son of a bitch, damn it, s***|Impolite Expressions & Swearwords|||||||shit|
doke, どけ, get out of my way, |doke|どけ|get out of my way|Impolite Expressions & Swearwords||||||||
shine, 死ね, go to hell, |shine|死ね|go to hell|Impolite Expressions & Swearwords||Literally means "die".||||||
kuso kurae, くそくらえ, direct insult and dismissal, |kuso kurae|くそくらえ|direct insult and dismissal|Impolite Expressions & Swearwords||||||||
ahoka, アホか, subject is surprised, |ahoka|アホか|subject is surprised|Impolite Expressions & Swearwords||||||||
tsukae nee yatsu da na, 痞えねーやつだな, you're worthless, |tsukae nee yatsu da na|痞えねーやつだな|you're worthless|Impolite Expressions & Swearwords||Literally means "you're a load".||||||
korosu, 殺す, I will kill you, |korosu|殺す|I will kill you|Impolite Expressions & Swearwords||Highly vulgar if used to convey the speaker's intent.||||||
bukkorosu, ぶっ殺す, I will beat you and kill you, |bukkorosu|ぶっ殺す|I will beat you and kill you|Impolite Expressions & Swearwords||Highly vulgar if used to convey the speaker's intent.||||||
urusai, urusee, 煩い, うるせえ, shut up, |urusai, urusee|煩い, うるせえ|shut up|Impolite Expressions & Swearwords||Literally means "you're noisy".||||||
damare, 黙れ, shut up, |damare|黙れ|shut up|Impolite Expressions & Swearwords||More vulgar than using "urusai".||||||
baka, aho, バカ, アホ, you're stupid, you're an idiot, |baka, aho|バカ, アホ|you're stupid, you're an idiot|Impolite Expressions & Swearwords||||||||
saitei, 最低, you're the worst, |saitei|最低|you're the worst|Impolite Expressions & Swearwords||||||||
kuso, くそ, s***, shit|kuso|くそ|s***|Impolite Expressions & Swearwords|||||||shit|
kusai, kusee, くさい, くせえ, you stink, |kusai, kusee|くさい, くせえ|you stink|Impolite Expressions & Swearwords||Literally means "you're stinky".||||||
unko, うんこ, poo, |unko|うんこ|poo|Impolite Expressions & Swearwords||||||||
uzai, うざい, you're annoying, |uzai|うざい|you're annoying|Impolite Expressions & Swearwords||||||||
dame ningen, ダメ人間, bad human, |dame ningen|ダメ人間|bad human|Impolite Expressions & Swearwords||||||||
dame otoko, タメ男, no good guy, |dame otoko|タメ男|no good guy|Impolite Expressions & Swearwords||||||||
charao, チャラ男, player, |charao|チャラ男|player|Impolite Expressions & Swearwords||||||||
bicchi, ビッチ, slut, bitch|bicchi|ビッチ|slut|Impolite Expressions & Swearwords||From the english "bitch".|||||bitch|
mendoukusai, 面倒くさい, pain in the a**, pain in the ass|mendoukusai|面倒くさい|pain in the a**|Impolite Expressions & Swearwords|||||||pain in the ass|
busu, ブス, ugly, |busu|ブス|ugly|Impolite Expressions & Swearwords||Short for "busaiku".||||||
busaiku, 不細工, ugly, |busaiku|不細工|ugly|Impolite Expressions & Swearwords||||||||
debu, デブ, fat, |debu|デブ|fat|Impolite Expressions & Swearwords||||||||
babaa, ババア, old hag, |babaa|ババア|old hag|Impolite Expressions & Swearwords||||||||
jijii, じじい, old geezer, |jijii|じじい|old geezer|Impolite Expressions & Swearwords||||||||
mukatsuku, ムカつく, you f***ing piss me off, you fucking piss me off|mukatsuku|ムカつく|you f***ing piss me off|Impolite Expressions & Swearwords|||||||you fucking piss me off|
kechi, ケチ, cheap, |kechi|ケチ|cheap|Impolite Expressions & Swearwords||||||||
otaku, オタク, nerd, |otaku|オタク|nerd|Impolite Expressions & Swearwords||||||||
kimoi, きもい, gross, |kimoi|きもい|gross|Impolite Expressions & Swearwords||Very vulgar.||||||
kiete, 消えて, f*** off, disappear, fuck off|kiete|消えて|f*** off, disappear|Impolite Expressions & Swearwords|||||||fuck off|
fuzakenna, ふざけんな, dont f*** with me, dont fuck with me|fuzakenna|ふざけんな|dont f*** with me|Impolite Expressions & Swearwords|||||||dont fuck with me|
heta kuso, 下手クソ, really suck at something, |heta kuso|下手クソ|really suck at something|Impolite Expressions & Swearwords||Literally "bad as s***".||||||
heiten gara gara gara, 閉店ガラガラガラ, shut up, |heiten gara gara gara|閉店ガラガラガラ|shut up|Impolite Expressions & Swearwords||Literally means "the store is closed".||||||
hen, 変, weird, |hen|変|weird|Impolite Expressions & Swearwords||||||||
hen na yatsu, 変なやつ, weird guy, |hen na yatsu|変なやつ|weird guy|Impolite Expressions & Swearwords||||||||
iya na yatsu, 嫌なやつ, a unliked person, |iya na yatsu|嫌なやつ|a unliked person|Impolite Expressions & Swearwords||||||||
binbou, 貧乏, poor person, |binbou|貧乏|poor person|Impolite Expressions & Swearwords||||||||
kusotare, kusottare, 糞垂れ, 糞っ垂れ, fuck, shithead, bastard, |kusotare, kusottare|糞垂れ, 糞っ垂れ|fuck, shithead, bastard|Impolite Expressions & Swearwords||||||||
ketsu, ケツ, a**, ass|ketsu|ケツ|a**|Impolite Expressions & Swearwords|||||||ass|
manko, マンコ, マ〇コ, female genetalia, p****, swearword, pussy|manko|マンコ, マ〇コ|female genetalia, p****|Impolite Expressions & Swearwords||Very vulgar, usually censored.|||||swearword, pussy|
dokka ike, どっか行け, go away, f*** off, fuck off|dokka ike|どっか行け|go away, f*** off|Impolite Expressions & Swearwords|||||||fuck off|
dasai, ダサい, not cool, ugly, unattractive, |dasai|ダサい|not cool, ugly, unattractive|Impolite Expressions & Swearwords||||||||
