Index|Romaji construction|Kana construction|Alternate Spellings|Common|Extra keywords Jap|Preposition|Kanji Root|Latin Root|Exception index|MeaningEN|Extra keywordsEN|MeaningFR|Extra keywordsFR|MeaningES|Extra keywordsES|
19266|okiru|起きる||1|||起き|oki|98|9857;9858;9859||19089;19090;19091||18678;18679;18680||
19267|hareru|腫れる||1|||腫れ|hare|99|5440||19092||18681||
19268|zonjiru|存じる|gozonjiru, ご存じる|1||を|存じ|zonji|100|5446||19093||18682||
19269|motomeru|求める||1||を|求め|motome|90|5530;8872;8873;8874||19094;19095;19096;19097||18683||
19270|iru|いる||1||を|い|i|90|5392||||||
19271|kiru|着る|著る|1||を|着|ki|90|5396;10488;10489||19098;19099||18684;18685||
19272|chiru|散る||1|||散|chi|90|5397||19100;19101;19102;19103;19104||18686||
19273|deru|出る||1||から,を|出|de|90|7588;7589;7590;7591;7592;7593;7594;7595;7596;7597;7598;7599;7600;7601;7602;7603;7604;7605;7606;7607;9406||19105;19106;19107;19108;19109;19110;19111;19112;19113;19114;19115;19116;19117;19118;19119;19120;19121;19122;19123;19124||18687;18688;18689||
19274|neru|寝る||1|||寝|ne|90|11027;11028;11029;11030||19125;19126;19127;19128;19129||18690||
19275|ukaberu|浮かべる||1|||浮かべ|ukabe|90|5402;10237;10238;10239||19130;19131;19132||18691||
19276|shimeru|閉める||1||を|閉め|shime|90|5403||19133||18692||
19277|atatameru|温める|暖める, nukumeru, attameru|1||を|温め|atatame|90|5404;14294||19134||18693||
19278|suteru|捨てる|棄てる|1||を|捨て|sute|90|5406;11203;11204;11205||19135;19136;19137||18694||
19279|umareru|生まれる|産れる, 産まれる, 生れる|1|||生まれ|umare|90|5407;19871||19138||18695||
19280|wasureru|忘れる||1||を|忘れ|wasure|90|5409||19139||18696||
19281|tsukareru|疲れる||1|||疲れ|tsukare|90|5410;12049;12050||19140;19141;19142||18697||
19282|ireru|入れる|函れる, 容れる,  函れる|1||を|入れ|ire|90|5411;7693;7694;7695;7696;7697;7698;7699;7700||19143;19144;19145;19146;19147;19148;19149;19150;19151||18698;18699||
19283|toreru|撮れる||0|||撮れ|tore|90|5412||||||
19284|dekakeru|出かける|出掛ける|1|||出かけ|dekake|90|5414;7586;7587;9381||19152;19153||18700||
19285|akeru|開ける|明ける, 空ける|1||を|開け|ake|90|5415;12667;12668;12669;12670;12671;12672;12673;12674;12675;18568;18569||19154;19155;19156;19157;19158;19159;19160;19161;19162;19163||18701||
19286|akeru|空ける||1||を|空け|ake|90|5416||||||
19287|akeru|明ける||1|||明け|ake|90|5417||||||
19288|tsukeru|付ける|着ける, 附ける|1||を|付け|tsuke|90|5418;8002;8003;8004;8005;8006;8007;8008;8009;8010;8011;8012;8013;8014||19164;19165;19166;19167;19168;19169;19170;19171;19172;19173;19174;19175;19176;19177||18702;18703;18704;18705;18706;18707;18708;18709;18710;18711;18712||
19289|tsukeru|点ける||1||を|点け|tsuke|90|8017||19178||18713||
19290|kaketsukeru|駆けつける||1|||駆けつけ|kaketsuke|90|5420||||||
19291|shashigeru|者繁る||1||を|者繁|shashige|90|5422||||||
19292|mieru|見える||1||が|見え|mie|90|5424;9749;9750;9751||19179;19180;19181||18714;18715;18716||
19293|oboeru|覚える||1||を|覚え|oboe|90|5425;11810;11811;11812;11813||19182;19183;19184;19185||18717;18718||
19294|kieru|消える||1|||消え|kie|90|5426;23186||19186||18719||
19295|ueru|植える||1||を|植え|ue|90|5427||19187;19188;19189;19190||18720||
19296|tsutaeru|伝える||1||を|伝え|tsutae|90|5428||19191||18721||
19297|machigaeru|間違える||1|||間違え|machigae|90|5429;20473||19192;19193||18722;18723||
19298|arawareru|あらわれる||1|||あらわれ|araware|90|5430||||||
19299|ochiru|落ちる|堕ちる, 墜ちる, 落る, 堕ちる|1|||落ち|ochi|90|5431;6393;6394;6395;6396;6397;6398;6399;6400;6401;6402;6403;6404;6405;6406;6407;6408;6409;6410;21227;21228;21229;21230;21231||19194;19195;19196;19197;19198;19199;19200;19201;19202;19203;19204;19205;19206;19207;19208;19209;19210;19211;19212||18724;18725;18726;18727;18728;18729;18730;18731;18732;18733;18734||
19300|kariru|借りる||1||を|借り|kari|90|21107;21108||19213;19214||18735||
19301|kakeru|掛ける|懸ける|1||を|掛け|kake|90|5434;9591;9592;9593;9594;9595;9596;9597;9598;9599;9600;9601;9602;9603;9604;9605;9606;9607;9608;9609;9610;9611;9612;9613;9614;9615;36615||19215;19216;19217;19218;19219;19220;19221;19222;19223;19224;19225;19226;19227;19228;19229;19230;19231;19232;19233;19234;19235;19236;19237;19238||18736;18737;18738;18739;18740;18741;18742;18743;18744;18745;18746;18747;18748||
19302|tazuneru|尋ねる||1||を|尋ね|tazune|90|10111;10112||19239||18749||
19303|miseru|見せる||1||を|見せ|mise|90|5437||19240||18750||
19304|nigeru|逃げる|迯げる|1|||逃げ|nige|90|5438;21212||19241||18751||
19305|sazukeru|授ける||1||を|授け|sazuke|90|35757;35758||19242||18752||
19306|kowareru|壊れる||1||が|壊れ|koware|90|9711;9712||19243;19244||18753||
19307|hajimeru|始める|創める|1||を|始め|hajime|90|5442;7649;7650||19245;19246;19247||18754||
19308|shiraberu|調べる||1||を|調べ|shirabe|90|5443;10016||19248||18755||
19309|abiru|浴びる||1||を|浴び|abi|90|5444||19249||18756||
19310|kotaeru|答える||0||を|答え|kotae|90|5445||19250||18757||
19311|shinjiru|信じる||1||を|信じ|shinji|90|9267||19251||18758||
19312|kangaeru|考える|勘える, 稽える|1||を/と|考え|kangae|90|11576;11577;11578;11579;11580;11581;11582;20404;20405;20406;20407;20408;20409||19252;19253;19254;19255;19256;19257;19258||18759||
19313|aburajimiru|脂染みる||1|||脂染み|aburajimi|90|5449||||||
19314|aseru|焦る||1|||焦|ase|90|5450||19259||18760||
19315|atsumeru|集める||1||を|集め|atsume|90|5451||19260||18761||
19316|awateru|慌てる|周章てる|1|||慌て|awate|90|5452;20986||19261;19262||18762||
19317|dekiru|出来る|出きる, 出來る|1|||出来|deki|90|5454;6622;6623;6624;6625;6626;6627;9383;9384;9385||19263;19264;19265;19266;19267;19268;19269||18763;18764;18765;18766;18767;18768;18769;18770;18771;18772;18773;18774||
19318|dekiru|出切る||0|||出切|deki|90|5455||||18775||
19319|eru|得る|獲る|1||を|得|e|90|14421;14422;14423;14424||19270;19271;19272;19273||18776;18777||
19320|fueru|増える|殖える|1|||増え|fue|90|5457||19274||18778||
19321|fukeru|老ける||1|||老け|fuke|90|5458||19275||18779||
19322|fukeru|更ける||1|||更け|fuke|90|5459;10694||19276||18780||
19323|fukeru|蒸ける||0|||蒸け|fuke|90|5460||||||
19324|fukeru|ふける||0|||ふけ|fuke|90|5461||||||
19325|fureru|触れる||1||を|触れ|fure|90|5462||19277;19278;19279;19280;19281||18781||
19326|fureru|振れる||0|||振れ|fure|90|5463||||18782||
19327|fureru|狂れる||0|||狂れ|fure|90|5464||||||
19328|fuseru|伏せる||1|||伏せ|fuse|90|5465||19282;19283||18783||
19329|hareru|晴れる|霽れる|1|||晴れ|hare|90|5466;23093;23094;23095||19284;19285;19286;19287||18784||
19330|hazureru|外れる||1|||外れ|hazure|90|5467||19288||18785||
19331|heru|経る|歴る|1||を|経|he|90|15765;15766;15767||19289||18786||
19332|hikiukeru|引き受ける|引受ける, 引きうける, 引受る|1||を|引き受け|hikiuke|90|5469;18259;18260;18261||19290;19291;19292;19293||18787||
19333|hikumeru|低める||1||を|低め|hikume|90|5470||19294||18788||
19334|hiromeru|広める|弘める|1||を|広め|hirome|90|21738;21739||19295;19296||18789||
19335|hiru|嚏る||0|||嚏|hi|90|5472||||18790||
19336|hodokeru|解ける||1|||解け|hodoke|90|5473;7115;7116||19297||18791||
19337|homeru|誉める|褒める, 賞める, 称める|1||を|誉め|home|90|5474||||||
19338|horeru|惚れる||1||を|惚れ|hore|90|5475||19298||18792||
19339|horobiru|滅びる|亡びる|1|||滅び|horobi|90|5476;7686||19299||18793||
19340|iitsukeru|言いつける||0||を|言いつけ|iitsuke|90|5477||19300;19301;19302||18794||
19341|ijimeru|苛める||1||を|苛め|ijime|90|5478||19303||18795||
19342|ikiru|生きる||1|||生き|iki|90|5479;8225;8226;8227;8228;20343||19304;19305;19306;19307;19308||18796||
19343|imashimeru|戒める||1||を|戒め|imashime|90|5480||19309||18797||
19344|imashimeru|縛める||0||を|縛め|imashime|90|5481||||||
19345|ireru|淹れる||0||を|淹れ|ire|90|5482||||18798||
19346|ireru|挿れる||0||を|挿れ|ire|90|5483||||||
19347|ireru|煎れる||0|||煎れ|ire|90|5484||||||
19348|iru|射る||0||を|射|i|90|5485||19310||18799||
19349|iru|鋳る||0||を|鋳|i|90|5486||19311||18800||
19350|iru|煎る||0||を|煎|i|90|5487||19312||18801||
19351|iru|沒る||0|||沒|i|90|5488||||||
19352|iru|癒る||0|||癒|i|90|5489||||||
19353|kaeru|変える||0||を|変え|kae|90|10789;10790||19313;19314||18802||
19354|kaeru|換える|代える, 替える|1||を|換え|kae|90|5491;12508;12509||19315;19316||18803||
19355|kakaeru|抱える||1||を|抱え|kakae|90|5492||19317;19318;19319||18804||
19356|kakageru|掲げる||1||を|掲げ|kakage|90|5493;7725;7726;7727;7728;35891;35892;35893;35894||19320;19321||18805||
19357|kakeru|欠ける||1|||欠け|kake|90|5494;9616;9617;9618;9619||19322;19323;19324;19325||18806||
19358|kakeru|駆ける|駈ける|1|||駆け|kake|90|5495||19326||18807||
19359|kakeru|賭ける||1||を|賭け|kake|90|5496||19327||18808||
19360|kakeru|架ける||0||を|架け|kake|90|5497||||18809||
19361|kakureru|隠れる|匿れる|1|||隠れ|kakure|90|5498;35307||19328||18810||
19362|kamaeru|構える||1||を|構え|kamae|90|5499;7730;7731;7732;7733;7734;7735||19329||18811||
19363|kanjiru|感じる||1||を|感じ|kanji|90|5500||19330||18812||
19364|kareru|枯れる||1|||枯れ|kare|90|5501||19331;19332||18813||
19365|kasaneru|重ねる||1||を|重ね|kasane|90|5502;9622;9623||19333;19334||18814||
19366|katameru|固める||1||を|固め|katame|90|5503||19335||18815||
19367|katadukeru|片付ける|katazukeru|1||を|片付け|kataduke|90|5504;7738;7739;7740;7741;9628;9629||19336;19337;19338;19339||18816;18817;18818;18819;18820||
19368|kazoeru|数える|算える|1||を|数え|kazoe|90|5505||19340||18821||
19369|kigaeru|着替える|kikaeru,  着換える|1||を|着替え|kigae|90|5506||19341||18822||
19370|kikoeru|聞こえる|聞える, 聴える, 聴こえる|1||が|聞こえ|kikoe|90|5507;36494||19342;19343||18823;18824||
19371|kimeru|決める|極める|1||を|決め|kime|90|6361;6362;6363;6364;6365;6366;8800;8801;8802||19344;19345;19346;19347;19348;19349;19350;19351;19352||18825||
19372|kinjiru|禁じる||1||を|禁じ|kinji|90|5509||19353||18826||
19373|kireru|切れる||1|||切れ|kire|90|5510;9638;9639;9640;9641;9642;9643;9644;9645;9646;9647;9648;9649;9650;9651;9652;9653||19354;19355;19356;19357;19358;19359;19360;19361;19362;19363;19364||18827;18828;18829;18830;18831;18832||
19374|kizutsukeru|傷付ける|疵付ける, 傷つける, 疵つける|1||を|傷付け|kizutsuke|90|5511||||||
19375|koboreru|零れる||1|||零れ|kobore|90|5512||19365;19366||18833||
19376|koeru|越える|超える|1|||越え|koe|90|5513;13020||19367||18834;18835||
19377|kogeru|焦げる||1|||焦げ|koge|90|5514||19368||18836||
19378|koshikakeru|腰掛ける||1|||腰掛け|koshikake|90|5515;18301||19369||18837||
19379|koshiraeru|拵える||1||を|拵え|koshirae|90|5516||19370||||
19380|kuraberu|比べる|較べる, 競べる|1||を|比べ|kurabe|90|5517;20466||19371;19372||18838;18839||
19381|kurushimeru|苦しめる||1||を|苦しめ|kurushime|90|5518;9162;9163||19373||18840||
19382|kuwadateru|企てる||1||を|企て|kuwadate|90|5519||19374||18841||
19383|kuwaeru|加える||1||を|加え|kuwae|90|5520;9727;9728;9729;9730||19375;19376;19377;19378||18842||
19384|kuzureru|崩れる||1|||崩れ|kuzure|90|5521||19379;19380;19381;19382;19383;19384||18843||
19385|mageru|曲げる|枉げる|1||を|曲げ|mage|90|20481;20482;20483;20484;20485||19385;19386;19387;19388;19389||18844||
19386|mazeru|混ぜる||1||を|混ぜ|maze|90|5524||19390||18845||
19387|mitomeru|認める||1||を|認め|mitome|90|5525;16089;16090;16091;16092;16093||19391;19392;19393;19394;19395;19396||18846;18847;18848||
19388|mitsukeru|見付ける|見つける, 見附ける, 見附る|1||を|見付け|mitsuke|90|5526||||||
19389|moukeru|儲ける||1||を|儲け|mouke|90|5527||19397;19398;19399||18849||
19390|moreru|漏れる||1|||漏れ|more|90|5528;13097;13098;13099||19400||18850||
19391|moteru|持てる||1|||持て|mote|90|5529;35343;35344||19401||18851||
19392|mukaeru|迎える|邀える|1||を|迎え|mukae|90|5531;6356;6357;6358;6359;7839;7840||19402;19403;19404;19405;19406||18852||
19393|nagameru|眺める||1||を|眺め|nagame|90|9793;9794;9795||19407||18853||
19394|nagareru|流れる||1|||流れ|nagare|90|5533;6692;6693;6694;6695;6696;6697;6698;6699;11769||19408||18854||
19395|nageru|投げる||1||を|投げ|nage|90|5534;11004;35348;35349;35350||19409;19410||18855;18856||
19396|nagusameru|慰める||1||を|慰め|nagusame|90|5535||19411||18857||
19397|nameru|舐める||1||を|舐め|name|90|5537;18320;18321;18322||19412||18858||
19398|naraberu|並べる|双べる|1||を|並べ|narabe|90|5538;9802;9803;9804||19413;19414;19415||18859||
19399|nareru|慣れる||1|||慣れ|nare|90|5539||19416;19417;19418||18860||
19400|neru|練る|煉る|1|||練|ne|90|5540;15006;15007;15008;15009;15010;15011;5593||19419||18861||
19401|niru|煮る||1||を|煮|ni|90|5541||19420||18862||
19402|noseru|乗せる||1||を|乗せ|nose|90|5542||19421;19422;19423;19424;19425;19426||18863||
19403|nureru|濡れる|濡る|1|||濡れ|nure|90|5543||19427||18864||
19404|okureru|遅れる|後れる|1|||遅れ|okure|90|5544||19428||18865||
19405|oreru|折れる||1|||折れ|ore|90|9886;9887;9888;9889||19429;19430;19431;19432||18866||
19406|oriru|降りる|下りる|1|||降り|ori|90|5546;16141;16142;16143;16144;16145||19433;19434;19435;19436;19437||18867||
19407|oshieru|教える|訓える|1||を|教え|oshie|90|5547;9257;9258;9259||19438;19439;19440||18868||
19408|osoreru|恐れる||1||を|恐れ|osore|90|5548||19441||18869||
19409|sadameru|定める||1||を|定め|sadame|90|20680;20681;20682||19442||18870||
19410|sageru|下げる||1||を|下げ|sage|90|5550||19443;19444;19445;19446||18871||
19411|sakeru|裂ける|割ける|1|||裂け|sake|90|5551||19447||18872||
19412|samatageru|妨げる||1||を|妨げ|samatage|90|5552||19448||18873||
19413|sasaeru|支える||1||を|支え|sasae|90|5553||19449||18874||
19414|shikeru|時化る||0|||時化|shike|90|5554||||||
19415|sodateru|育てる||1||を|育て|sodate|90|5555;36716;36717||19450;19451;19452||18875||
19416|sugiru|過ぎる||1|||過ぎ|sugi|90|5556;11932;11933;11934;11935;11936||19453;19454;19455;19456;19457;19458||18876||
19417|sugureru|優れる|勝れる, 傑れる|1|||優れ|sugure|90|5557||19459||18877||
19418|takuwaeru|蓄える||1||を|蓄え|takuwae|90|5558;10094;10095;10096||19460;19461||18878||
19419|tameru|溜める||1||を|溜め|tame|90|5559;36515||19462;19463||18879||
19420|taoreru|倒れる||1|||倒れ|taore|90|5560;7968;7969;7970;7971;7972;7973;7974||19464;19465;19466;19467||18880||
19421|tariru|足りる||1||に|足り|tari|90|5561;8513;8514||19468;19469;19470||18881||
19422|tasukeru|助ける|佐ける, 佑ける, 輔ける, 援ける, 救ける, 扶ける|1||を|助け|tasuke|90|5562;13369;13370;13371;21358||19471;19472;19473;19474||18882||
19423|tateru|建てる||1||を|建て|tate|90|5563||19475||18883||
19424|tokeru|解ける||1|||解け|toke|90|10135;10136;10137;10138||19476;19477;19478;19479||18884||
19425|toreru|取れる||1|||取れ|tore|90|5565;11994;11995;11996;11997;11998||19480;19481;19482;19483;19484;19485||18885||
19426|torikaeru|取り替える||1||を|取り替え|torikae|90|5566||19486||18886||
19427|tsumeru|詰める||1|||詰め|tsume|90|5567;5609;23426;23427;23428;23429;23430;23431;23432;23433;23434||19487;19488;19489;19490;19491;19492;19493;19494;19495;19496;19497||18887||
19428|tsutomeru|努める|勉める, 力める|1||を|努め|tsutome|90|20862||19498||18888||
19429|tsuyomeru|強める||1||を|強め|tsuyome|90|5569||19499||18889||
19430|tsudukeru|続ける|tsuzukeru|1|||続け|tsuduke|90|5570||19500||18890||
19431|wakareru|分かれる|分れる|1|||分かれ|wakare|90|5571;20869;20870||19501;19502;19503||18891||
19432|wakeru|分ける|別ける|1||を|分け|wake|90|5572;14040;14041;14042;14043;14044;14045||19504;19505;19506;19507;19508;19509;19510||18892||
19433|yabureru|破れる||1|||破れ|yabure|90|5573||19511;19512||18893||
19434|yakeru|焼ける||1|||焼け|yake|90|5574||19513;19514||18894||
19435|yameru|止める|廃める, 已める|1||を|止め|yame|90|11250;11251||19515;19516||18895||
19436|yojiru|攀じる||0|||攀じ|yoji|90|5576||||||
19437|takeru|炊ける||0|||炊け|take|90|5577||||||
19438|takeru|長ける||0|||長け|take|90|5578||||||
19439|warubireru|悪びれる||0|||悪びれ|warubire|90|5579||||18896||
19440|oujiru|応じる||1|||応じ|ouji|90|5580||19517||18897||
19441|kanjiru|観じる||0||を|観じ|kanji|90|5581||||||
19442|kareru|涸れる||0|||涸れ|kare|90|5582||||18898||
19443|kareru|嗄れる||0|||嗄れ|kare|90|5583||||||
19444|katadukeru|嫁ける|katazukeru|1||を|嫁け|kataduke|90|5584||||||
19445|koboreru|毀れる||0|||毀れ|kobore|90|5585||||||
19446|koeru|超える||1|||超え|koe|90|5586||||||
19447|koeru|肥える||1|||肥え|koe|90|5587||19518;19519;19520||18899||
19448|mikuraberu|見比べる||1||を|見比べ|mikurabe|90|5588||19521||18900||
19449|kuwaeru|咥える||0||を|咥え|kuwae|90|5589||19522||18901||
19450|makeru|負ける|敗ける, 敗北る|1|||負け|make|90|5590;5523;19294;19295;19296;19297;19298||19523;19524;19525;19526;19527||18902||
19451|moukeru|設ける||1||を|設け|mouke|90|5591;11724;20548;20549||19528||18903||
19452|namakeru|怠ける||1|||怠け|namake|90|5536;5592||19529||18904||
19453|niru|似る||1||に|似|ni|90|9831;9832||19530;19531||18905||
19454|noseru|載せる||1||を|載せ|nose|90|5595||||||
19455|oriru|下りる||1|||下り|ori|90|5596||||||
19456|sageru|提げる||0||を|提げ|sage|90|5597||19532||18906||
19457|sakeru|避ける|yokeru,  除ける|1||を|避け|sake|90|5598;5599;21294||19533;19534||18907||
19458|sakeru|割ける||1|||割け|sake|90|5600||||||
19459|shikeru|湿気る||0|||湿気|shike|90|5601||||18908||
19460|tameru|矯める||0||を|矯め|tame|90|5602||19535||18909||
19461|tameru|貯める||0||を|貯め|tame|90|5603||||18910||
19462|tawameru|撓める||0||を|撓め|tame|90|5604||||||
19463|tateru|立てる||1||を|立て|tate|90|5605;10097;10098;10099;10100;10101;10102;10103;10104;10105;10106;10107||19536;19537;19538;19539;19540;19541;19542;19543;19544;19545||18911;18912;18913;18914||
19464|tateru|点てる||0||を|点て|tate|90|5606||||||
19465|tateru|閉てる||0||を|閉て|tate|90|5607||||||
19466|tokeru|溶ける||1|||溶け|toke|90|5608||19546||18915||
19467|tsutomeru|勤める|務める|1||を/に|勤め|tsutome|90|5610;20863;20864||19547;19548;19549||18916||
19468|tsutomeru|務める||1||を|務め|tsutome|90|5611||||||
19469|wakareru|別れる||1|||別れ|wakare|90|5612;14033;14034;14035||19550||18917||
19470|yabureru|敗れる||1|||敗れ|yabure|90|5613||19551||18918||
19471|yameru|辞める|罷める, 退める,  罷める|1||を|辞め|yame|90|5614||19552||18919||
19472|yameru|病める||0|||病め|yame|90|5615||||18920||
19473|miru|診る||1||を|診|mi|90|5616||19553||18921||
19474|miru|看る||1||を|看|mi|90|5617||19554||18922||
19475|utsubuseru|俯せる||1|||俯せ|utsubuse|90|5618||||||
19476|megakeru|目がける||0||を|目がけ|megake|90|5619||||18923||
19477|azukeru|預ける||1||を|預け|azuke|90|5620||19555||18924||
19478|kureru|暮れる|暗れる, 昏れる, 眩れる|1|||暮れ|kure|90|5621;7801;7802;7803||19556;19557;19558||18925||
19479|bakeru|化ける||1|||化け|bake|90|5622;14305;14306;14307;14308||19559||18926;18927||
19480|kikaseru|効かせる||1||を|効かせ|kikase|90|5623||||||
19481|fuzakeru|ふざける||1|||ふざけ|fuzake|90|5624||||||
19482|mezameru|目覚める|目醒める, 目ざめる|1|||目覚め|mezame|90|5625;6311;6312||19560||18928||
19483|nukeru|抜ける|脱ける|1|||抜け|nuke|90|5626;15081;15082;15083;15084;15085;15086;15087||19561;19562;19563;19564;19565;19566;19567;19568||18929||
19484|nebokeru|寝ぼける||1|||寝ぼけ|neboke|90|5627;11014||19569||18930||
19485|takameru|高める||1||を|高め|takame|90|5628||19570||18931||
19486|shizumeru|鎮める||1||を|鎮め|shizume|90|5629||||||
19487|shizumeru|沈める||1||を|沈め|shizume|90|5630||19571||18932||
19488|yatsureru|窶れる||1|||窶れ|yatsure|90|5631||19572||18933||
19489|abareru|暴れる||1|||暴れ|abare|90|5632||19573||18934||
19490|tomeru|停める||1||を|停め|tome|90|5633||||||
19491|tomeru|泊める||1||を|泊め|tome|90|5634||19574||18935||
19492|kagitsukeru|嗅ぎ付ける|嗅ぎつける|0||を|嗅ぎ付け|kagitsuke|90|5635||||||
19493|kagiwakeru|嗅ぎ分ける|嗅ぎわける|0||を|嗅ぎ分け|kagiwake|90|5636||||||
19494|toorikakaru|通り掛かる||1|||通り掛か|toorikaka|90|5638||||||
19495|toorisugiru|通り過ぎる|通りすぎる|1|||通り過ぎ|toorisugi|90|5639;9013||19575||18936||
19496|toorinukeru|通り抜ける|通りぬける|0|||通り抜け|toorinuke|90|5640||||||
19497|tooriawaseru|通り合わせる||0|||通り合わせ|tooriawase|90|5641||||||
19498|hittoraeru|ひっ捕らえる|引っ捕らえる|1||を|ひっ捕らえ|hittorae|90|5642||||||
19499|kusarihateru|腐り果てる||0|||腐り果て|kusarihate|90|5643||||||
19500|nogareru|逃れる|遁れる|1|||逃れ|nogare|90|5644||19576||18937||
19501|burasageru|ぶら下げる||1||を|ぶら下げ|burasage|90|5645||19577||18938||
19502|hoeru|吠える|吠る, 吼える|1|||吠え|hoe|90|5646||19578||18939||
19503|shimeru|締める||1||を|締め|shime|90|5647||19579;19580;19581;19582;19583;19584||18940||
19504|shiraseru|知らせる|報せる|1||を|知らせ|shirase|90|5648||19585||18941||
19505|moushiageru|申し上げる|申上げる, 申しあげる,  申上げる|1||を|申し上げ|moushiage|90|5649;11726||19586;19587||18942||
19506|tashikameru|確かめる|慥かめる|1||を|確かめ|tashikame|90|5650||19588||18943||
19507|yogoreru|汚れる||1|||汚れ|yogore|90|19894;19895||19589;19590||18944||
19508|kegareru|汚れる|穢れる|0|||汚れ|kegare|90|5652||19591||||
19509|wareru|割れる|破れる|1|||割れ|ware|90|5653;8595;8596;8597;8598;8599;8600||19592;19593;19594;19595||18945||
19510|sashiageru|差し上げる|差上げる, さし上げる, 差上げる|1||を|差し上げ|sashiage|90|5654;13246||19596;19597||18946||
19511|todokeru|届ける|屆ける|1||を|届け|todoke|90|5655;14028||19598;19599||18947||
19512|tazuneru|訪ねる||1||を|訪ね|tazune|90|5656||19600||18948||
19513|hieru|冷える||1|||冷え|hie|90|5657||19601||18949||
19514|tsureru|連れる||1||を|連れ|tsure|90|5658;12056||19602||18950||
19515|tsukamaeru|捕まえる|捉まえる, 掴まえる|1||を|捕まえ|tsukamae|90|12039||19603||18951||
19516|norikaeru|乗り換える|乗り替える, 乗りかえる, 乗り替える|1||を|乗り換え|norikae|90|5660;8904;8905;9846||19604;19605||18952||
19517|yureru|揺れる||1|||揺れ|yure|90|5661||19606||18953||
19518|miageru|見上げる|見あげる|1|||見上げ|miage|90|5662||19607;19608||18954||
19519|haeru|生える||1|||生え|hae|90|9457;9458||19609;19610||18955||
19520|shoujiru|生じる||1|||生じ|shouji|90|5664;13338;5665||19611;19612||18956||
19521|mitsumeru|見つめる|見詰める, 凝める|1||を|見つめ|mitsume|90|5666||19613||18957||
19522|mochiageru|持ち上げる|持上げる|0||を|持ち上げ|mochiage|90|5667;35340||19614;19615||18958||
19523|ureru|売れる||1|||売れ|ure|90|5668||19616;19617||18959;18960||
19524|mochiiru|用いる||1||を|用い|mochii|90|5669||19618||18961||
19525|hirogeru|広げる|拡げる, 展げる,  拡げる|1||を|広げ|hiroge|90|5670;21041;21042;21043||19619;19620;19621;19622||18962||
19526|mukeru|向ける||1||を|向け|muke|90|5671||19623||18963||
19527|toriageru|取り上げる|取上げる, 取りあげる, 採り上げる|1||を|取り上げ|toriage|90|5672;7986;7987;7988;7989||19624;19625;19626;19627||18964||
19528|oeru|終える|了える, 卒える|1||を|終え|oe|90|5673||19628;19629||18965||
19529|susumeru|進める||1||を|進め|susume|90|17849;17850;17851||19630||18966||
19530|kumitateru|組み立てる|組立てる, 組み立る|1||を|組み立て|kumitate|90|5675||19631||18967||
19531|tsuujiru|通じる||1|||通じ|tsuuji|90|5676;12058;12059;12060;12061;12062;12063;12064||19632;19633;19634;19635;19636;19637;19638;19639||18968||
19532|ateru|当てる||1||を|当て|ate|90|16729;16730;16731;16732;16733;18203||19640;19641;19642;19643;19644;19645||18969||
19533|meijiru|命じる||1||を|命じ|meiji|90|5678||19646||18970||
19534|sonaeru|備える|具える|1||を|備え|sonae|90|5679;19678;19679;19680;19681||19647;19648||18971||
19535|arawareru|現れる|現われる, 表れる, 表われる, 顕われる,  顕れる,  現われる|1|||現れ|araware|90|5680;20133||19649;19650||18972;18973;18974;18975||
19536|areru|荒れる||1|||荒れ|are|90|5681||19651;19652;19653||18976||
19537|sumaseru|済ませる||1||を|済ませ|sumase|90|5682||19654||18977||
19538|noberu|述べる|宣べる, 陳べる|1||を|述べ|nobe|90|5683||19655||18978||
19539|nobiru|伸びる||1|||伸び|nobi|90|5684||19656;19657;19658;19659;19660;19661||18979||
19540|nobiru|延びる||1|||延び|nobi|90|5685||||||
19541|furueru|震える|顫える|1|||震え|furue|90|5686||19662||18980||
19542|semeru|責める||1||を|責め|seme|90|5687||19663;19664;19665||18981||
19543|shimeru|占める||1||を|占め|shime|90|5688;19607;19608||19666;19667||18982||
19544|makaseru|任せる|委せる|1||を|任せ|makase|90|5689;35680;35681;35682;35683||19668;19669;19670;19671;19672||18983;18984||
19545|moeru|燃える||1|||燃え|moe|90|5690||19673||18985||
19546|tojiru|閉じる||1||を|閉じ|toji|90|5691||19674||18986||
19547|umeru|埋める||1||を|埋め|ume|90|5692;12067;12068;12069;12070;12071||19675;19676;19677;19678;19679;19680||18987||
19548|ataeru|与える||1||を|与え|atae|90|5693;15540;15541;15542;15543||19681;19682;19683||18988;18989||
19549|ronjiru|論じる||1||を|論じ|ronji|90|5694;17561;17562;17563||19684;19685;19686||18990||
19550|osameru|収める|納める|1||を|収め|osame|90|5695;19427;19428;19429;19430;19431;19432||19687;19688;19689;19690;19691;19692||18991||
19551|kaneru|兼ねる||1||を|兼ね|kane|90|5696;19075;19076;19077;19078;19079||19693;19694;19695;19696;19697||18992||
19552|ageru|挙げる||1||を|挙げ|age|90|5697||||||
19553|ageru|揚げる||1||を|揚げ|age|90|5698||||||
19554|uttaeru|訴える||1||を|訴え|uttae|90|5699;10257;10258;10259;10260;10261||19698;19699;19700;19701||18993||
19555|akogareru|憧れる|憬れる, 憧憬れる|1|||憧れ|akogare|90|5700||19702||18994||
19556|akiru|飽きる|厭きる, 倦きる, 倦る,  厭きる|1|||飽き|aki|90|35971||19703||18995||
