Family|English|T/I|Prep|Kana|Kanji|u-stem|Root Kanji|Root|Exception|
ru godan|be awarded, be given (something)|I||さずかる|授かる|sazukaru|授か|sazuka|27|
ru godan|end, finish, close|I||おわる|終わる|owaru|終わ|owa|27|
ru godan|occur, happen, be caused|I||おこる|起こる|okoru|起こ|oko|27|
ru godan|give (polite, speaker is the recepient or his relative), please|T|を|くださる|下さる|kudasaru|下さ|kudasa|35|
ru godan|exist, come, go|I||いらっしゃる|いらっしゃる|irassharu|いらっしゃ|irassha|36|
ru godan|say|T|を|おっしゃる|仰る|ossharu|仰|ossha|37|
ru godan|be (archaic)|I||ござる|御座る|gozaru|御座|goza|38|
ru godan|do, request|T|を/に|なさる|為さる|nasaru|為さ|nasa|39|
ru godan|come home, go home, leave (guest, customer, etc.)|I|に|かえる|帰る|kaeru|帰|kae|40|
ru godan|take (a resource, e.g. time or money), come into view, arrive, have started to, be on the verge of, overlap (e.g. information in a manual), (come) at, be fastened, be covered (e.g. with dust, a tablecloth, etc.), be caught in, get a call|T|を|かかる|掛かる|kakaru|掛か|kaka|27|
ru godan|gather, collect, assemble|I||あつまる|集まる|atsumaru|集ま|atsuma|27|
ru godan|strike against, collide with, bump into, conflict with, clash with|I||ぶつかる|打つかる|butsukaru|打つか|butsuka|27|
ru godan|be silent|I||だまる|黙る|damaru|黙|dama|27|
ru godan|fail, mess up, bungle|I||どじる|どじる|dojiru|どじ|doji|27|
ru godan|jabber, chatter, chat with|T|を|だべる|駄弁る|daberu|駄弁|dabe|27|
ru godan|tear pieces, tear shreds, tear up, tear off|T|を|ちぎる|千切る|chigiru|千切|chigi|27|
ru godan|have sexual intercourse (actual), pledge, promise, swear (archaic)|T|を|ちぎる|契る|chigiru|契|chigi|27|
ru godan|feel nervous, feel self-conscious, feel surprise, be surprised|I||びびる|びびる|bibiru|びび|bibi|27|
ru godan|scoff, laugh at, make fun of, ridicule, jeer at|I||あざける|嘲る|azakeru|嘲|azake|27|
ru godan|indulge in, give oneself up to, be obsessed by, be engrossed in, be lost in, be absorbed in|I||ふける|耽る|fukeru|耽|fuke|27|
ru godan|lie down, retire, go bed|I||ふせる|臥せる|fuseru|臥せ|fuse|27|
ru godan|grow fat (stout, plump), become fat, gain weight|I||ふとる|太る|futoru|太|futo|27|
ru godan|persevere, persist, keep at it, hang on, hold out, do one's best|I||ふとる|頑張る|futoru|頑張|futo|27|
ru godan|complain, grumble|I||ぐちる|愚痴る|guchiru|愚痴|guchi|27|
ru godan|wait upon, serve|I||はべる|侍る|haberu|侍|habe|27|
ru godan|plot, attempt, plan, devise, design, aim for, refer A B|T|を|はかる|図る|hakaru|図|haka|27|
ru godan|consult with, discuss, confer, deliberate|T|を|はかる|諮る|hakaru|諮|haka|27|
ru godan|stick, paste, affix, link (internet), stretch, spread, strain, tighten, form (e.g. ice on a pond), fill, swell, stick out, put, slap, be expensive|I||はる|張る|haru|張|ha|27|
ru godan|do (honorific)|I||はる|はる|haru|は|ha|41|
ru godan|run, travel (movement of vehicles), hurry to, retreat (from battle), to take flight, elope, flash, to streak, to shoot through (e.g. pain)|I||はしる|走る|hashiru|走|hashi|27|
ru godan|run away from home|I||はしる|奔る|hashiru|奔|hashi|27|
ru godan|tend heavily towar|I||はしる|趨る|hashiru|趨|hashi|27|
ru godan|be popular, come infashion, be prevalent, spread widely (e.g. disease), be endemic, flourish, thrive|I||はやる|流行る|hayaru|流行|haya|27|
ru godan|be in high spirits, be impatient, be hotblooded, be rash, be impetuous|I||はやる|逸る|hayaru|逸|haya|27|
ru godan|deprecate oneself and praise the listener, abase oneself|I||へりくだる|謙る|herikudaru|謙|herikuda|27|
ru godan|decrease (in size or number), diminish, abate|I||へる|減る|heru|減|he|27|
ru godan|shine, glitter, be bright|I||ひかる|光る|hikaru|光|hika|27|
ru godan|twist, wrench, turn (a switch on or off, etc.), wring (a neck), puzzle over, defeat easily|T|を|ひねる|捻る|hineru|捻|hine|27|
ru godan|screw, twist, distort, parody, make a pun, torture, wrest|T|を|ねじる|捩る|nejiru|捩|neji|27|
ru godan|age (archaic)|T|を|ひねる|陳ねる|hineru|陳ね|hine|27|
ru godan|spread, be propagated|I||ひろまる|広まる|hiromaru|広ま|hiroma|27|
ru godan|expel (from the body), excrete, defecate, give birth, fart|T|を|ひる|放る|hiru|放|hi|27|
ru godan|flutter (in the wind), wave, flap, fly, turn over, flip over, suddenly change (attitude, opinion, etc.), suddenly switch, alter, flip|I||ひるがえる|翻る|hirugaeru|翻|hirugae|27|
ru godan|dig up, peck at, pick (nose, teeth, etc.), pry into, examine, dredge up|T|を|ほじる|穿る|hojiru|穿|hoji|27|
ru godan|hint at, intimate, suggest, allude to, imply|T|を|ほのめかる|仄めかす|honomekaru|仄めか|honomeka|27|
ru godan|dig, excavate, hollow, dig up (e.g. vegetables)|T|を|ほる|掘る|horu|掘|ho|27|
ru godan|carve, engrave, sculpt, chisel, tattoo|T|を|ほる|彫る|horu|彫|ho|27|
ru godan|throw, toss, fling, throw away, discard, neglect, abandon, leave alone, give up on, leave undone, leave unfinished|T|を|ほうる|放る|houru|放|hou|27|
ru godan|desire, want, wish for, covet|T|を|ほしがる|欲しがる|hoshigaru|欲しが|hoshiga|27|
ru godan|feel hot, flush, burn|I||ほてる|火照る|hoteru|火照|hote|27|
ru godan|surge, well up, gush out|I||ほとばしる|迸る|hotobashiru|迸|hotobashi|27|
ru godan|be proud, swagger, boast|I||いばる|威張る|ibaru|威張|iba|27|
ru godan|pick on, tease, torment, roast (figurative)|T|を|いびる|いびる|ibiru|いび|ibi|27|
ru godan|touch, tamper with|T|を|いじる|弄る|ijiru|弄|iji|27|
ru godan|grope about, feel for something|T|を|まさぐる|弄る|masaguru|弄|masagu|27|
ru godan|pray, wish (for)|T|を|いのる|祈る|inoru|祈|ino|27|
ru godan|get in, go in, come in, flow into, set, set in|I||いる|入る|iru|入|i|27|
ru godan|lie, cheat, falsify, deceive, pretend|I||いつわる|偽る|itsuwaru|偽|itsuwa|27|
ru godan|hate, dislike|T|を|いやがる|嫌がる|iyagaru|嫌が|iyaga|27|
ru godan|put on (one's head), wear, have on, crown (oneself), be covered with (dust, snow, etc.), pour (water, etc.) on oneself, dash on oneself, ship water, bear (e.g. someone's debts, faults), take (blame), assume (responsibility), shoulder (burden)|T|を|かぶる|被る|kaburu|被|kabu|27|
ru godan|overlap (e.g. sound or color), be similar, be redundant, be fogged (due overexposure, etc.),  close, come an end, sell out (of tickets), fail (of a play, archaic), be deceived (archaic)|I||かぶる|被る|kaburu|被|kabu|27|
ru godan|return, come back, go back, turn over|I||かえる|返る|kaeru|返|kae|27|
ru godan|hatch out|I||かえる|孵る|kaeru|孵|kae|27|
ru godan|darken, get dark, be clouded, be obscured|I||かげる|陰る|kageru|陰|kage|27|
ru godan|restrict, limit, confine|T|を|かぎる|限る|kagiru|限|kagi|27|
ru godan|be restricted to, be limited to, be confined to|I||かぎる|限る|kagiru|限|kagi|27|
ru godan|chew, bite (at), gnaw, nibble, munch, crunch, dabble in (e.g. hobby, instrument)|T|を|かじる|齧る|kajiru|齧|kaji|27|
ru godan|suffer from, contract (a disease)|I|に|かかる|罹る|kakaru|罹|kaka|27|
ru godan|span, bridge, cross, straddle|I||かかる|架かる|kakaru|架か|kaka|27|
ru godan|be the work of, be the result of, be done by, concern, affect, involve, relate to|I||かかる|係る|kakaru|係|kaka|27|
ru godan|be affected, be influenced, be concerned with, have do with, stick (opinions)|I||かかわる|係わる|kakawaru|係わ|kakawa|27|
ru godan|soar, fly, run, dash|I||かける|翔る|kakeru|翔|kake|27|
ru godan|be piled up, pile up (e.g. stress), accumulate, overlap (each other), happen simultaneously|I||かさなる|重なる|kasanaru|重な|kasana|27|
ru godan|harden, solidify, become certain, gather (together), assemble, huddle together|I||かたまる|固まる|katamaru|固ま|katama|27|
ru godan|love, be affectionate, favor, favour, be partial to, torment, tease, be rough with|T|を|かわいがる|可愛がる|kawaigaru|可愛が|kawaiga|27|
ru godan|change, be transformed, be altered, vary, move to, be different, be uncommon, be unusual|I||かわる|変わる|kawaru|変わ|kawa|27|
ru godan|decorate, ornament, adorn|T|を|かざる|飾る|kazaru|飾|kaza|27|
ru godan|kick, refuse, reject|T|を|ける|蹴る|keru|蹴|ke|27|
ru godan|be decided, be settled, be agreed upon, look good in (clothes)|I||きまる|決まる|kimaru|決ま|kima|27|
ru godan|creak, squeak, grate, grind, rasp|I||きしる|軋る|kishiru|軋|kishi|27|
ru godan|pry, prize, prise|I||こじる|抉る|kojiru|抉|koji|27|
ru godan|differ, vary, disagree|I||ことなる|異なる|kotonaru|異な|kotona|27|
ru godan|be afraid of, fear, dread, be nervous (about), be shy (of)|I||こわがる|怖がる|kowagaru|怖が|kowaga|27|
ru godan|grip, strangle death|T|を|くびる|縊る|kubiru|縊|kubi|27|
ru godan|gouge, scoop, stick inand move around, dig around in, pick (i.e. one's teeth)|T|を|くじる|抉る|kujiru|抉|kuji|27|
ru godan|get cloudy, cloud over, become overcast, fog up, mist up, become dim, be gloomy, be downcast|I||くもる|曇る|kumoru|曇|kumo|27|
ru godan|be crooked, bend loosely back and forth|I||くねる|くねる|kuneru|くね|kune|27|
ru godan|rot, go bad, decay, spoil, fester, decompose, turn sour (e.g. milk), rot, go bad, decay, spoil, fester, decompose, turn sour (e.g. milk), blunt, weaken (from lack of practice), become depraved, be degenerate, be corrupt, be depressed, be dispirited, feel discouraged, feel down, lose a bet (archaic), be drenched (archaic)|I||くさる|腐る|kusaru|腐|kusa|27|
ru godan|topple over, be overturned, capsize, be overruled, be reversed, be discredited|I||くつがえる|覆る|kutsugaeru|覆|kutsugae|27|
ru godan|be mixed, be blended with, associate with, mingle with, interest, join|I||まじる|混じる|majiru|混じ|maji|27|
ru godan|deify, enshrine, pray, worship|T|を|まつる|祭る|matsuru|祭|matsu|27|
ru godan|feel depressed|I||めいる|滅入る|meiru|滅入|mei|27|
ru godan|stand watch, stand guard, look out, open one's eyes wide|T|を|みはる|見張る|miharu|見張|miha|27|
ru godan|underrate, belittle, look down on, despise|T|を|みくびる|見縊る|mikubiru|見縊|mikubi|27|
ru godan|overflow, swell (e.g. river full of water), pervade (e.g. atmosphere with emotion)|I||みなぎる|漲る|minagiru|漲|minagi|27|
ru godan|bear fruit, ripen|I||みのる|実る|minoru|実|mino|27|
ru godan|pluck (e.g. a fruit, a leaf), pick, tear off (e.g. a ticket stub, a branch from a tree), wrench off|T|を|もぎる|捥る|mogiru|捥|mogi|27|
ru godan|distort, parody, make a pun|T|を|もじる|捩る|mojiru|捩|moji|27|
ru godan|be profitable, yield a profit, make money|I||もうかる|儲かる|moukaru|儲か|mouka|27|
ru godan|pluck, pick, tear|T|を|むしる|毟る|mushiru|毟|mushi|27|
ru godan|strike, hit, punch|T|を|なぐる|殴る|naguru|殴|nagu|27|
ru godan|rebuke, scold, tell off|T|を|なじる|詰る|najiru|詰|naji|27|
ru godan|die|I||なくなる|亡くなる|nakunaru|亡くな|nakuna|27|
ru godan|be cured, get well, be healed|I||なおる|治る|naoru|治|nao|27|
ru godan|get mended, be repaired, be fixed|I||なおる|直る|naoru|直|nao|27|
ru godan|screw, twist, torture, wrest|T|を|ねじる|捩る|nejiru|捩|neji|27|
ru godan|sleep (not necessarily lying down), fall asleep, die, close one's eyes (archaic)|I||ねむる|眠る|nemuru|眠|nemu|27|
ru godan|clasp, grasp, grip, clutch, make (nigirizushi, rice ball, etc.), form, press inshape, mold, mould, seize (power, etc.), take hold of|T|を|にぎる|握る|nigiru|握|nigi|27|
ru godan|edge forward, shuffle one's feet, trample underfoot|I||にじる|躙る|nijiru|躙|niji|27|
ru godan|remain, be left over|I||のこる|残る|nokoru|残|noko|27|
ru godan|fall forward|I||のめる|のめる|nomeru|のめ|nome|27|
ru godan|speak ill of, abuse verbally|I||ののしる|罵る|nonoshiru|罵|nonoshi|27|
ru godan|be slippery, be slimy, behave charmingly, walk merrily|I||ぬめる|滑る|numeru|滑|nume|27|
ru godan|paint, plaster, lacquer, varnish, spread, smear|T|を|ぬる|塗る|nuru|塗|nu|27|
ru godan|be angular, be square|I||いかる|怒る|ikaru|怒|ika|27|
ru godan|fall down, drop, fall (e.g. rain, trick, in love, ona gaze, behind), sink (e.g. moon), be omitted, be missing, decrease, fail, lose, crash, degenerate, degrade, be ruined, fade, come off (e.g. makeup), be removed, give in, give up, confess, flee, be defeated, surrender, crash (IT term), freeze (IT term), die (ie. animals)|I||おちいる|落ちる|ochiiru|落ち|ochii|27|
ru godan|get angry, get mad, tell someone off, scold|I||おこる|怒る|okoru|怒|oko|27|
ru godan|ponder, contemplate|T|を|おもいいる|思い入る|omoiiru|思い入|omoii|27|
ru godan|give up all thoughts of, abandon, despair of|T|を|おもいきる|思い切る|omoikiru|思い切|omoiki|27|
ru godan|flatter|I||おもねる|阿る|omoneru|阿|omone|27|
ru godan|be worse than, be inferior to, be less good at, fall behind|I||おとる|劣る|otoru|劣|oto|27|
ru godan|hang down, abate, retire, fall, step back|I||さがる|下がる|sagaru|下が|saga|27|
ru godan|touch, feel (with hands)|I||さわる|触る|sawaru|触|sawa|27|
ru godan|demand money, pester, extort|T|を|せびる|せびる|sebiru|せび|sebi|27|
ru godan|compete, bid, sell at auction|T|を|せる|競る|seru|競|se|27|
ru godan|pick, play with repeatedly|T|を|せせる|挵る|seseru|挵|sese|27|
ru godan|tie, bind|T|を|しばる|縛る|shibaru|縛|shiba|27|
ru godan|grow thickly, be in full leaf, be rampant, luxuriate, be luxurious|I||しげる|茂る|shigeru|茂|shige|27|
ru godan|scold, tell off|T|を|しかる|叱る|shikaru|叱|shika|27|
ru godan|be shut, close, be closed, be locked, tighten, be tightened, become sober, become tense|I||しまる|閉まる|shimaru|閉ま|shima|27|
ru godan|quieten down, calm down, subside, die down, abate, be suppressed|I||しずまる|静まる|shizumaru|静ま|shizuma|27|
ru godan|sprawl, lie sprawled|I||ねそべる|寝そべる|nesoberu|寝そべ|nesobe|27|
ru godan|slander, libel, criticize, criticise|T|を|そしる|謗る|soshiru|謗|soshi|27|
ru godan|glide, slide (e.g. on skis), slip, fail (an examination), bomb (when telling a joke), drop, go down, come down, fall (e.g. in status)|I||すべる|滑る|suberu|滑|sube|27|
ru godan|control, supervise|T|を|すべる|統べる|suberu|統べ|sube|27|
ru godan|boil, seethe, cascade down (e.g. waterfall), well up, overflow|I||たぎる|滾る|tagiru|滾|tagi|27|
ru godan|rage, be fierce, be excited|I||たける|猛る|takeru|猛|take|27|
ru godan|be astonished, be startled, be appalled, be frightened (archaic)|I||たまぎる|魂消る|tamagiru|魂消|tamagi|27|
ru godan|collect, gather, save, accumulate, pile up|I||たまる|溜まる|tamaru|溜ま|tama|27|
ru godan|rely on, have recourse to, depend on|I||たよる|頼る|tayoru|頼|tayo|27|
ru godan|shine, look slightly upward (of a noh mask indicating joy, etc.)|I||てる|照る|teru|照|te|27|
ru godan|surge, well up, gush out|I||とばしる|迸る|tobashiru|迸|tobashi|27|
ru godan|flub (one's lines), muff (lines), |T|を|とちる|とちる|tochiru|とち|tochi|27|
ru godan|pile up, accumulate|I||つもる|積もる|tsumoru|積も|tsumo|27|
ru godan|pinch|T|を|つねる|抓る|tsuneru|抓|tsune|27|
ru godan|get strong, gain strength|I||つよまる|強まる|tsuyomaru|強ま|tsuyoma|27|
ru godan|receive, get, accept, take, interpret, understand|T|を|うけとる|受け取る|uketoru|受け取|uketo|27|
ru godan|wind (of a road, etc.), meander, twist, undulate, surge, swell, roll|I||うねる|畝る|uneru|畝|une|27|
ru godan|exceed (esp. figures: profits, unemployment rate, etc.), surpass, top, be more than, be better than|T|を|うわまわる|上回る|uwamawaru|上回|uwamawa|27|
ru godan|divide, cut, break, halve, separate, split, rip, crack, smash, dilute|T|を|わる|割る|waru|割|wa|27|
ru godan|cross over, go across, cross (a road), bridge|I||わたる|渡る|wataru|渡|wata|27|
ru godan|tear, violate, smash, destroy, break (e.g. password)|T|を|やぶる|破る|yaburu|破|yabu|27|
ru godan|jeer (at), hoot, boo, catcall, heckle|T|を|やじる|野次る|yajiru|野次|yaji|27|
ru godan|go by, cross, pass by, float across|I||よぎる|過ぎる|yogiru|過ぎ|yogi|27|
ru godan|cross (e.g. road), traverse|T|を|よこぎる|横切る|yokogiru|横切|yokogi|27|
ru godan|be resurrected, be resuscitated, be rehabilitated, be revived, be refreshed, be restored, be recalled (e.g. memories)|I||よみがえる|甦る|yomigaeru|甦|yomigae|27|
ru godan|be due to, be caused by, be based on, come from|I||よる|因る|yoru|因|yo|27|
ru godan|rub, scrub|T|を|こする|擦る|kosuru|擦|kosu|27|
ru godan|pat, stroke, rub off, polish, grind, graze, scrape, be equal to, be about reach|T|を|さする|摩る|sasuru|摩|sasu|27|
ru godan|be saved, be rescued, survive, escape harm, be helped|I||たすかる|助かる|tasukaru|助か|tasuka|27|
ru godan|fail, fall through, blunder|I||しくじる|しくじる|shikujiru|しくじ|shikuji|27|
ru godan|fail, stuff up (slang)|I||しくる|しくる|shikuru|しく|shiku|27|
ru godan|succeed, relieve, replace|I||かわる|替わる|kawaru|替わ|kawa|27|
ru godan|take the place of, substitute for, take over for, represent|I||かわる|代わる|kawaru|代わ|kawa|27|
ru godan|be exchanged, change (places with), switch|I||かわる|換わる|kawaru|換わ|kawa|27|
ru godan|blindstitch the inside of a fold with (equally spaced) threadings (i.e. pulling shoe lacing tight)|T|を|まつる|纏る|matsuru|纏|matsu|27|
ru godan|offer, present, revere, do respectfully|T|を|まつる|奉る|matsuru|奉|matsu|27|
ru godan|disappear, get lost (esp. objects)|I||なくなる|無くなる|nakunaru|無くな|nakuna|27|
ru godan|rise, flourish|I||おこる|興る|okoru|興|oko|27|
ru godan|make up one's mind, take a momentous decision, dare|I||おもいきる|思い切る|omoikiru|思い切|omoiki|27|
ru godan|hinder, interfere with, affect, do one harm, be harmful to|T|を|さわる|障る|sawaru|障|sawa|27|
ru godan|be strangled, be constricted|I||しまる|絞まる|shimaru|絞ま|shima|27|
ru godan|roar, howl|I||たける|哮る|takeru|哮|take|27|
ru godan|cease, stop, be over|I||やまる|止まる|yamaru|止ま|yama|27|
ru godan|be saved up (e.g. money)|I||たまる|貯まる|tamaru|貯ま|tama|27|
ru godan|bear (often adds emphasis), endure|I||たまる|堪る|tamaru|堪|tama|27|
ru godan|be flustered, be confused|I||とちる|とちる|tochiru|とち|tochi|27|
ru godan|estimate|T|を|つもる|積もる|tsumoru|積も|tsumo|27|
ru godan|extend, cover, range, span|I||わたる|亘る |wataru|亘る|wata|27|
ru godan|depend on, turn on|I||よる|依る|yoru|依|yo|27|
ru godan|choose, select|T|を|よる|選る|yoru|選|yo|27|
ru godan|visit, drop in, approach|I||よる|寄る|yoru|寄|yo|27|
ru godan|lean on, rest against|I||よる|倚る|yoru|倚|yo|27|
ru godan|twist (yarn), lay (rope)|I||よる|撚る|yoru|撚|yo|27|
ru godan|be negligent in doing something, shirk, be off one's guard|I||おこたる|怠る|okotaru|怠|okota|27|
ru godan|take (a photo)|T|を|とる|撮る|toru|撮|to|27|
ru godan|record (video, audio, etc.), make (a film)|T|を|とる|録る|toru|録|to|27|
ru godan|take, catch (fish), capture|T|を|とる|捕る|toru|捕|to|27|
ru godan|adopt (measure, proposal), pick (e.g. fruit), catch (e.g. insects), take (e.g. a sample), assume (attitude), take on (i.e. hire), engage|T|を|とる|採る|toru|採|to|27|
ru godan|take (trouble), attend (business), command (army)|T|を|とる|執る|toru|執|to|27|
ru godan|take (nuance of stealing), steal|T|を|とる|盗る|toru|盗|to|27|
ru godan|have (lunch, etc.), take (vitamins, etc.)|T|を|とる|摂る|toru|摂|to|27|
ru godan|harvest (a crop)|T|を|とる|穫る|toru|穫|to|27|
ru godan|defeat, beat, succeed, win|T|を|やぶる|敗る|yaburu|敗|yabu|27|
ru godan|assign, allot, divide among, distribute, prorate, assess, apportion, allocate|T|を|わりふる|割り振る|warifuru|割り振|warifu|27|
ru godan|roll, tumble, fall over, roll over, lie down, be scattered about, be common, change (of a situation or outcome), turn out|I||ころがる|転がる|korogaru|転が|koroga|27|
ru godan|lie down, stretch out|I||よこたわる|横たわる|yokotawaru|横たわ|yokotawa|27|
ru godan|lie down, throw oneself down|I||ねころがる|寝転がる|nekorogaru|寝転が|nekoroga|27|
ru godan|sleep, lie down|I||せぶる|せぶる|seburu|せぶ|sebu|27|
ru godan|write down, take dictation, take notes|T|を|かきとる|書き取る|kakitoru|書き取|kakito|27|
ru godan|be (honorific), come, go|I||おいで に なる|お出でになる|oide ni naru|お出でにな|oide ni na|27|
ru godan|smell weet, be fragrant|I||かおる|香る|kaoru|香|kao|27|
ru godan|become bright, become clear|I||あかる|明る|akaru|明|aka|27|
ru godan|pull, draw, pull tight, string (lines), stretch, drag, haul, tow, lead, delay, prolong, quote, cite, reference, wear, put on|I||ひっぱる|引っ張る|hipparu|引っ張|hippa|27|
ru godan|talk, chatter, tell (e.g. secrets)|I||くっちゃべる|食っちゃべる|kucchaberu|食っちゃべ|kucchabe|27|
ru godan|bring home|T|を|もってかえる|持って帰る|motte kaeru|持って帰|motte kae|27|
ru godan|swarm, gather|I||むらがる|群がる|muragaru|群が|muraga|27|
ru godan|be (formal, literary)|I||である|である|dearu|であ|dea|27|
ru godan|die (slang), be exhausted|I||くたばる|くたばる|kutabaru|くたば|kutaba|27|
ru godan|feel contempt for, feel disdain for, feel hatred for|I||やがる|やがる|yagaru|やが|yaga|27|
ru godan|rampage, riot|I||あばれまわる|暴れ回る|abaremawaru|暴れ回|abaremawa|27|
ru godan|weave|T|を|おる|織る|oru|織|o|27|
ru godan|break, fracture, break off, snap off, split off, pick (e.g. flowers), fold, bend, interrupt, end|T|を|おる|折る|oru|折|o|27|
ru godan|happen pass by|I||とおりかかる|通り掛かる|toorikakaru|通り掛か|toorikaka|27|
ru godan|happen pass by, pass by|I||とおりすがる|通りすがる|toorisugaru|通りすが|toorisuga|27|
ru godan|manipulate, operate, handle, steer, mastermind, pull the strings, control from the shadows, play (a musical instrument)|T|を|あやつる|操る|ayatsuru|操|ayatsu|27|
ru godan|get away, manage hold on|I||にげきる|逃げ切る|nigekiru|逃げ切|nigeki|27|
ru godan|run from place place|I||にげまわる|逃げ回る|nigemawaru|逃げ回|nigemawa|27|
ru godan|hang from, dangle, swing|I||ぶらさがる|ぶら下がる|burasagaru|ぶら下が|burasaga|27|
ru godan|become less capable, grow dull, become blunt, weaken|I||にぶる|鈍る|niburu|鈍|nibu|27|
ru godan|be hit, touch, be in contact, be affixed, be equivalent to, apply to, succeed, face, confront, undertake, be afflicted, be called upon, lash out at, be unnecessary, be cruised, spoil (of a fruit)|I||あたる|当たる|ataru|当た|ata|27|
ru godan|feel something out, probe, check, shave|T|を|あたる|当たる|ataru|当た|ata|27|
ru godan|fit, get into, go into, be fit for, be suited for, satisfy (conditions), fall into, plunge into, get stuck, get caught, be deceived, be taken in, fall ina trap, be addicted to, be deep into, be crazy about, be stuck on|I||はまる|嵌る|hamaru|嵌|hama|27|
ru godan|fish, look for, search for, hunt for, scavenge, scrounge|I||あさる|漁る|asaru|漁|asa|27|
ru godan|sound, ring, resound, echo, roar, rumble|I||なる|鳴る|naru|鳴|na|27|
ru godan|move (house), transfer (department), change the target of interest or concern, elapse (time), be permeated by a colour or scent, be infected, be contagious, spread (e.g. fire)|I||うつる|移る|utsuru|移|utsu|27|
ru godan|stay at (e.g. hotel), be docked, be berthed, be moored, lodge at|I||とまる|泊まる|tomaru|泊ま|toma|27|
ru godan|fish, angle, catch, lure in, tempt, attract, entice, allure|T|を|つる|釣る|tsuru|釣|tsu|27|
ru godan|descend, go down, come down, be handed down (of an order, judgment, etc.), pass (of time), surrender, capitulate, be less than, be inferior to, have the runs, have diarrhea|I||くだる|下る|kudaru|下|kuda|27|
ru godan|be pleased with, suit|I||きにいる|気に入る|ki ni iru|気に入|ki ni i|27|
ru godan|see off (e.g. the station, an airport, etc.), escort (e.g. home), farewell, see out, send off, let pass, wait and see, continue (e.g. in legal contexts), let a pitch go by (baseball), watch a batted ball go inthe stands|T|を|みおくる|見送る|miokuru|見送|mioku|27|
ru godan|measure, weigh, survey, time (sound, gauge, estimate), conjecture, infer, surmise|T|を|はかる|計る|hakaru|計|haka|27|
ru godan|spread (out), extend, stretch, reach to, get around, fill (e.g. a space)|I||ひろがる|広がる|hirogaru|広が|hiroga|27|
ru godan|be added to, be appended, join in (e.g. a group of friends), participate, increase (e.g. heat), gain in (e.g. influence), grow, gather (speed), be subject (e.g. pressure)|I||くわわる|加わる|kuwawaru|加わ|kuwawa|27|
ru godan|refuse, reject, dismiss, turn down, decline, inform, give notice, tell in advance, ask leave, excuse oneself (from)|T|を|ことわる|断る|kotowaru|断|kotowa|27|
ru godan|be handed down, be introduced, be transmitted, be circulated, go along, walk along|I||つたわる|伝わる|tsutawaru|伝わ|tsutawa|27|
ru godan|apply (a rule), be applicable, come under (a category), fulfill|T|を|あてはまる|当てはまる|atehamaru|当てはま|atehama|27|
ru godan|distribute, deliver, deal (cards)|T|を|くばる|配る|kubaru|配|kuba|27|
ru godan|shout, yell|I||どなる|怒鳴る|donaru|怒鳴|dona|27|
ru godan|be caught, be arrested, be detained by|I||つかまる|捕まる|tsukamaru|捕ま|tsukama|27|
ru godan|hold on to, grasp, find (e.g. proof), get (e.g. a taxi)|I||つかまる|掴まる|tsukamaru|掴ま|tsukama|27|
ru godan|look after, take care of, keep, hold on to, keep in custody, take charge of, be entrusted with, receive on deposit, reserve (judgment), leave undecided|T|を|あずかる|預かる|azukaru|預か|azuka|27|
ru godan|betray, turn traitor to, double-cross|T|を|うらぎる|裏切る|uragiru|裏切|uragi|27|
ru godan|arrive at (e.g. a decision), reach (a stage), attain, lead (a place), get to|I||いたる|至る|itaru|至|ita|27|
ru godan|turn over, assign, hand over, transmit, convey, sell, dispose of, yield, surrender, concede|T|を|ゆずる|譲る|yuzuru|譲|yuzu|27|
ru godan|wring, squeeze, press, extract, rack (one's brains), strain (one's voice), extort, exploit, chew out, reprimand severely, rake over the coals, give a sound scolding, tell someone off, scold, rebuke, drill into, train, narrow down (one's focus), whittle down, gather up (a curtain, etc.), tighten (a drawstring), stop down (a lens), turn down (e.g. the radio), bend (a bow), draw, hold down, constrict, immobilize|T|を|しぼる|絞る|shiboru|絞|shibo|27|
ru godan|be tied together, be connected to, be related to|I||つながる|繋がる|tsunagaru|繋が|tsunaga|27|
ru godan|shave|T|を|そる|剃る|soru|剃|so|27|
ru godan|be finished, be completed, be done|I||しあがる|仕上がる|shiagaru|仕上が|shiaga|27|
ru godan|be taught|T|を|おそわる|教わる|osowaru|教わ|osowa|27|
ru godan|deepen, heighten, intensify|I||ふかまる|深まる|fukamaru|深ま|fukama|27|
ru godan|tell, indicate|T|を|ものがたる|物語る|monogataru|物語|monogata|27|
ru godan|demarcate, delimit, divide (an area), mark off, cut off|T|を|くぎる|区切る|kugiru|区切|kugi|27|
ru godan|punctuate, put an end (e.g. a sentence), insert pauses or breaks (e.g. when reading aloud)|T|を|くぎる|句切る|kugiru|句切|kugi|27|
ru godan|be blocked, be packed, hit the ball near the handle of the bat (baseball)|I||つまる|詰まる|tsumaru|詰ま|tsuma|27|
ru godan|approach, draw near|I||ちかよる|近寄る|chikayoru|近寄|chikayo|27|
ru godan|be wet, become wet, be damp, be moist, be in low spirits, feel depressed|I||しめる|湿る|shimeru|湿|shime|27|
ru godan|hear, be told, know, receive (order), undertake, comply, take (a reservation, etc.)|T|を|うけたまわる|承る|uketamawaru|承|uketamawa|27|
ru godan|feel around for, fumble for, grope for, search for, look for, investigate, probe into, spy on, sound out, explore (parts unknown), enjoy (natural beauty)|T|を|さぐる|探る|saguru|探|sagu|27|
