MM Index|Meaning|Type|Explanation|Rules|Example|Opposite|Synonym|
3496|minuto|||||||
3497|la mañana, A.M.|N;T||||||
3498|la mañana, madrugada, (la) mañana|N;T||||||
3499|tarde, noche|N;T||||||
3500|mediodía, día|N;Abs||||||
3501|plazo, período|||||||
3502|varios años|N;T||||||
3503|primavera|||||||
3504|verano|N;T||||||
3505|anteayer, antier|N;T||||||
3506|dentro de dos meses, el mes que sigue al que viene|N;T||||||
3507|el otro día, recientemente, ultimamente, durante este periodo, durante este período, el otro día|UNC||||||
3508|esta mañana|N;T||||||
3509|tiempo, hora|||||||
3510|ocasión, momento|||||||
3511|semana|N;T||||||
3512|entre semana, día laborable|||||||
3513|radical de kanji 73|||||||
3514|entre semana, día laborable|||||||
3515|fin de semana|N;T||||||
3516|(en) vida|N;T||||||
3517|invierno|N;T||||||
3518|anoche, tarde, noche|N;T||||||
3519|anoche|N;T||||||
3520|ambulancia|N;V||||||
3521|automóvil|||||||
3522|bicicleta|N;V||||||
3523|automóvil, coche, vehículo, (am) carro|||||||
3524|rueda|||||||
3525|coche (de caballos), carruaje|N;V||||||
3526|ascensor, elevador|N;V||||||
3527|escalera mecánica (eng: escalator)|N;V||||||
3528|motocicleta (wasei: auto-bike), moto|N;V||||||
3529|buque, barco, navío, nave, embarcación, bajel, bote, barca, vapor, flota, barco pequeño, barca, bote, lancha|||||||
3530|nave espacial|N;V||||||
3531|taxi (eng:)|N;V||||||
3532|tren (eléctrico)|||||||
3533|vehículo, carro, vagón|N;Abs||||||
3534|un año, hace algún tiempo, un año, hace algun tiempo, un año, hace algún tiempo|T||||||
3535|tres años|T||||||
3536|¡listo!, ¡ok!|OI||||||
3537|exclamación de alivio o decepción|OI||||||
3538|di muy, totalmente|OI||||||
3539|sufijo cortes usado después del nombre de una persona (frecuentemente de un aprendiz; usado mucho más al sur de Kyushu)|OI||||||
3540|golpe fuerte, disparo (bang), Don (término honorífico español) (spa:)|OI||||||
3541|mira!, mírame!|OI||||||
3542|¡Oh!, ¡Ah!, sí|OI||||||
3543|oh, ah|OI||||||
3544|nervioso, movimientos torpes dubitativos|OI||||||
3545|con sonido (al chispear o aplaudir), sonido de la manos aplaudiendo|OI||||||
3546|bueno..., bueno, entonces...|OI||||||
3547|combinación de las partículas 'de' y 'wa'|OI||||||
3548|¡uf!, ¡aumpf! , no|OI||||||
3549|¡oye!, ¡oiga!, eh!|||||||
3550|vamos, ven, ven ahora|OI||||||
3551|él|||||||
3552|novio|||||||
3553|ese, esa, el tío, el tipo, el gacho, la tía, la tipa, la gachi, el güey, el tipo ese, el tío ese|P||||||
3554|Yo (ego) (pronombre jactacioso)|P||||||
3555|yo, mí|||||||
3556|tú (dirigiendose a los niños)|||||||
3557|sirviente|||||||
3558|yo, mi, yo mismo, asuntos privados, yo|||||||
3559|yo (femenino), yo|P||||||
3560|Yo, yo mismo (pomposamente)|P||||||
3561|ella|||||||
3562|novia|||||||
3563|ellos|P||||||
3564|esa gente|P||||||
3565|nosotros, nosotros (vulgar)|P||||||
3566|nosotros|P||||||
3567|tú, señorita, usted|||||||
3568|querido (como la esposa llama al marido)|||||||
3569|(fam) tú, te, ti|||||||
3570|presencia (de un alto personaje)|||||||
3571|todos|Aj||||||
3572|considerable, grande, importante, significante, un gran trato|Aj||||||
3573|insignificante, simple|Aj||||||
3574|de alguna manera, cómo, de que forma, por qué, que tipo de|A||||||
3575|re-, otra vez, repetido|Px||||||
3576|inmenso, enorme, gran|||||||
3577|todos (con acontecimientos, ej. todos los fines de semana), cada|Px||||||
3578|ex-|Px||||||
3579|oculto, secreto|Px||||||
3580|bolsillo|Px||||||
3581|honorable ~ (prefijo de respeto)|Px||||||
3582|honorable|||||||
3583|super-, ultra-, hiper-|||||||
3584|prefijo negativo: in-, des-, mal-, a-|Px||||||
3585|para siempre, interminablemente|Aj||||||
3586|serpenteante, sinuoso, tortuoso, larguísimo, interminable, sin interrupción|Aj||||||
3587|para siempre, interminablemente|Aj||||||
3588|serpenteante, sinuoso, tortuoso|Aj||||||
3589|como, en que forma, qué acerca de, como, que tal, en que forma, qué acerca de|SI||||||
3590|cómo, qué, cuál, cuanto|||||||
3591|¿cuanto?, ¿cuantos?, ¿cuantos años?|||||||
3592|¿cuántas veces?|SI||||||
3593|¿cuanto?, ¿cuantos?|||||||
3594|cuántas horas, cuánto tiempo|||||||
3595|qué|||||||
3596|qué día, cuántos días|SI||||||
3597|qué hora|SI||||||
3598|como qué, qué tipo de|SI||||||
3599|cuándo|SI||||||
3600|dónde, en que lugar, donde, dónde, qué lugar, dónde, en que lugar|||||||
3601|cuál (3 o más)|SI||||||
3602|bien, ahora, dejame ver|SI||||||
3603|cuál|||||||
3604|cuál (de dos), quién, ¿cuál?, ¿por dónde?, dónde, cuál dirección|||||||
3605|quién|SI||||||
3606|quién (qué clase de persona)|||||||
3607|por qué, cómo|SI||||||
3608|por qué?, para que?|A||||||
3609|cómo?|A||||||
3610|¿por qué?, por qué razón, cómo, en que manera, para qué propósito, para qué|||||||
3611|después, detrás, tras|Sx||||||
3612|contador para trajes|||||||
3613|llegar a|||||||
3614|campo de cultivo, huerto, huerta, arrozal, campo de cultivo|Sx||||||
3615|parte, segmento, porción, ración|||||||
3616|tasa|||||||
3617|grado|||||||
3618|en proporción a, tanto como|||||||
3619|grupo de, la pandilla de|Sx||||||
3620|durante todo ~|||||||
3621|votos|Sx||||||
3622|-és (sufijo para adjetivo gentilicio)|Sx||||||
3623|sufijo: que supera, que pasa, que sobrepasa, sufijo: demasiado, excesivo, que se pasa de|N;Abs||||||
3624|indica plural humilde refiriendose a uno mismo, desdeñoso refiriendose a otros|Sx||||||
3625|señor, don, señora, doña|||||||
3626|tipo, manera, apariencia|||||||
3627|señor, señorita (sufijo de cortesía)|Sx||||||
3628|-tienda, -comercio|Sx||||||
3629|estilo de, método de, manera de, escuela (de pensamiento)|||||||
3630|-ado, -ido, -ico, -uzco, abandono , desechado , lanzamiento|Sx||||||
3631|típico o característico de (después de un sustantivo), parecido a (después de una frase)|||||||
3632|luciérnaga|N;Abs||||||
3633|una noche, toda la noche, por la noche|A;T||||||
3634|resonar, eco|||||||
3635|dormir hasta tarde|||||||
3636|despertador|N;GO||||||
3637|despertador|||||||
3638|notable, espléndido, deslumbrante, deslumbrador|Ai||||||
3639|erizo (cualquier mamífero de la familia Erinaceidae)|N;Fa||||||
3640|ratón, rata|N;Col||||||
3641|gris oscuro, gris obscuro|N;Col||||||
3642|aspiradora|||||||
3643|florista|N;Pl||||||
3644|recomendación|N;Ac||||||
3645|ceja, cejas|N;An||||||
3646|bigote, barba, patillas|N;An||||||
3647|zodíaco, zodiaco, los doce signos del zodiaco|N;Abs||||||
3648|algodón|N;Fl||||||
3649|superficie, cara, cabeza, careta, máscara, plano, faceta, fase, aspecto, punto de vista|||||||
3650|fideos, tallarines|N;Cu||||||
3651|tambor|N;GO||||||
3652|tiempos antiguos, (en la) antigüedad|N;Abs||||||
3653|beca|N;Abs||||||
3654|miserable, despreciable, deplorable, miserable, despreciable, deplorable, lastimoso, pobre, desgraciado, vergonzoso, infame|Ai||||||
3655|puerto|N;Pl||||||
3656|estar a favor, estar de acuerdo, aprobar, secundar, apoyar, decir sí, asentir, aprobación, acuerdo, apoyo, favor|N;Abs||||||
3657|brazo|||||||
3658|habilidad, capacidad|||||||
3659|mudanza, cambio de residencia, mudanza, cambiando de residencia|N;Ac||||||
3660|aviso, notificación|N;Abs||||||
3661|libro ilustrado|N;GO||||||
3662|siesta|||||||
3663|campo deportivo, terreno de juego|N;Pl||||||
3664|manera de hacer, manera, método, significados, manera de hacer, manera, método, medios|N;Abs||||||
3665|grupo (eng: group) (norm. de personas)|N;Abs||||||
3666|atractivo, guapo, elegante|Ai||||||
3667|sexy (eng:)|An||||||
3668|favorable, satisfactorio|An||||||
3669|principio|N;Abs||||||
3670|puntos importantes|N;Abs||||||
3671|luz del sol|N;Abs||||||
3672|vacaciones de invierno|N;Abs||||||
3673|primer día del mes|||||||
3674|día uno|||||||
3675|primer día del mes|||||||
3676|día 1|||||||
3677|primer día del mes|||||||
3678|un día|||||||
3679|como cuanto, qué tanto|A;Dg||||||
3680|isla|N;Pl||||||
3681|territorio (de una prostituta, organización criminal, etc.), césped|N;Pl||||||
3682|eso así es, eso es|CE||||||
3683|la gente lo dice, se ha dicho (después de un verbo, adjetivo), lo oí, parece como, tiene la apariencia de, Así es|CE||||||
3684|me temo que, siento decir que, lamentablemente|CE||||||
3685|inteligente, brillante|CE||||||
3686|(eng: date) cita, fecha (eng: ~suru) tener una cita|N;Abs||||||
3687|gastos escolares|N;Abs||||||
3688|arresto|N;Ac||||||
3689|juicio, proceso jurídico, juzgar|N;Ac||||||
3690|duda, incertidumbre|N;Abs||||||
3691|ejército, fuerza, tropas|N;Abs||||||
3692|grupo (de animales)|||||||
3693|grupo (matemáticas)|||||||
3694|distrito|||||||
3695|pistola, rifle, arma pequeña|N;GO||||||
3696|tubo, caño, cilindro|||||||
3697|artillería, cañones|N;GO||||||
3698|fusil, rifle|||||||
3699|rebote, resorte, muelle, caña de pescar, pistola|N;GO||||||
3700|uso, servicio, rol, posición|N;Abs||||||
3701|más o menos, aproximadamente|||||||
3702|mala suerte, infortunio, malo, desastre|N;Abs||||||
3703|ganancia, beneficio, provecho, interés, utilidad|N;Abs||||||
3704|rol, función, papel|N;Abs||||||
3705|medicinas, medicamentos, fármacos, drogas|N;Abs||||||
3706|Corea del Norte|||||||
3707|arriba (eng: top)|||||||
3708|primera posición|||||||
3709|mecanismo, instalación, motor|N;Abs||||||
3710|organismo, organización, institución, órgano|N;Abs||||||
3711|publicación trimestral|N;GO||||||
3712|órgano (del cuerpo), instrumento|||||||
3713|ya publicado|N;Abs||||||
3714|tráquea|N;Abs||||||
3715|fragmento, trozo, pedazo|N;Abs||||||
3716|responsabilidad, cargo, deber|N;Abs||||||
3717|equipo, maquinaria, infraestructura, instalación, complejo|||||||
3718|delegado, enviado, emisario|N;Abs||||||
3719|opinión personal|N;Abs||||||
3720|afortunado (eng: lucky)|Ai||||||
3721|Vietnam|N;Nn||||||
3722|frivolidad, ligereza|N;Pe||||||
3723|especialista|N;Pe||||||
3724|especialización|N;Abs||||||
3725|cometa (de juguete)|||||||
3726|pulpo|Nfa||||||
3727|protección divina|N;Abs||||||
3728|error, fallo|N;Abs||||||
3729|chino (lengua china)|N;Abs||||||
3730|enfermedad|N;Abs||||||
3731|ministerio|||||||
3732|cociente|||||||
3733|bolsa, bolso, saco, bolsa, saco, morral|||||||
3734|cáscara de naranja (y otras frutas)|||||||
3735|callejón sin salida|||||||
3736|lote de tierra rodeada por agua|||||||
3737|lucro, ganancia|N;Abs||||||
3738|carrera|N;Abs||||||
3739|empleado de una compañía|||||||
3740|accionistas de una compañía (esp. en contextos legales), miembros de una corporación|||||||
3741|al año siguiente|N;Abs||||||
3742|gestión, administración, gestionar, administrar, regentar un negocio, llevar un negocio, dirigir un establecimiento|N;Abs||||||
3743|(eng: start) principio, comienzo, lugar de salida, botón de start|N;Abs||||||
3744|compañía, compañero, colega, camarada, grupo, círculo de amigos, socio|N;Abs||||||
3745|unirse a un grupo|||||||
3746|polvo|||||||
3747|orgullo|N;Abs||||||
3748|asistencia, presencia|||||||
3749|investigación, encuesta|||||||
3750|evidente, obvio, claro, cierto|||||||
3751|estrés (eng: stress)|N;Abs||||||
3752|chance, oportunidad|||||||
3753|máquina|||||||
3754|aeronave|||||||
3755|contador para aviones|||||||
3756|contador para vidas restantes (en videojuegos)|||||||
3757|Vertical, fluctuación, revés|||||||
3758|práctica, entrenamiento|||||||
3759|oficialmente, (formalmente, )|||||||
3760|base, estación (militar)|N;Pl||||||
3761|salida ingeniosa, ocurrencia, agudeza, chispa, golpe, gracia|N;Abs||||||
3762|opuesto, contrario|||||||
3763|hembra|N;Abs||||||
3764|macho|N;Abs||||||
3765|chichón, joroba, verruga, estorbo|N;Abs||||||
3766|veterinario|N;Pe||||||
3767|educación, crianza|N;Abs||||||
3768|(el) pasado|||||||
3769|artículo (lista), evento (competencia)|N;Abs||||||
3770|convención, torneo, gran encuentro|N;Abs||||||
3771|estilo libre (natación)|N;Abs||||||
3772|Shikoku (la más pequeña de las cuatro islas principales de Japón)|N;Pl||||||
3773|Isla Principal del Japón|N;Pl||||||
3774|título, materia, tema, tópico|||||||
3775|problema (en un examen), pregunta|||||||
3776|contador para interrogaciones, preguntas|||||||
3777|paradero|N;Abs||||||
3778|desconocido, oscuro, indistinto, incierto, ambiguo, ignorante, falta de sabiduría, anónimo, no identificado|||||||
3779|tierra, suelo|||||||
3780|exterminio de incendios, control de incendios|||||||
3781|ancho, anchura|N;Abs||||||
3782|profundidad, hondura|||||||
3783|sufijo que indica número|||||||
3784|un Go (0.18 litros, 0.33 metros cuadrados)|||||||
3785|ladrón, atracador|||||||
3786|robo, atraco|||||||
3787|gobierno, administración|N;Abs||||||
3788|uniforme (ropa)|N;Ati||||||
3789|gracias a (algo o alguien)|||||||
3790|material, sustancia|||||||
3791|físico, material|Ana||||||
3792|muy, muchísimo, inmensamente|A;Dg||||||
3793|renuncia, dimisión|N;Ac||||||
3794|función pública, servicio público|N;Abs||||||
3795|profesional (eng: professional)|N;Pe||||||
3796|prevención de la delincuencia|N;Abs||||||
3797|ruptura|N;Ac||||||
3798|permitir, autorizar, dar licencia, dar permiso, licencia, permiso, autorización, visado|N;Ac||||||
3799|conexión|||||||
3800|agrupación, asociación, organización, grupo|||||||
3801|puente (festivo)|N;Abs||||||
3802|paz, armonía|||||||
3803|rostro sonriente, sonrisa|N;Ac||||||
3804|presidente del comité|N;Pe||||||
3805|(eng: abr de demonstration) demostración (eng: prueba)|N;Abs||||||
3806|langosta, langostino, camarón, gamba, ástaco, langosta, langostino, gamba, camarón, quisquilla, langosta, langostino, gamba, camarón, quisquilla, ástaco, langosta, langostino, gamba, camarón, quisquilla|||||||
3807|cráter|N;Pl||||||
3808|ceniza, cenizas|N;NE||||||
3809|pulmón|N;An||||||
3810|juez|N;Pe||||||
3811|resultado, consecuencia|||||||
3812|oponente político, adversario político|N;Pe||||||
3813|sexo, sexual, sexy|||||||
3814|año fiscal|N;T||||||
3815|arcilla, barro|N;NE||||||
3816|propaganda, publicidad, anuncio|N;Ac||||||
3817|cóctel Molotov|N;GO||||||
3818|lagrima, lagrimas, lágrima, lágrimas, secreción lagrimal|||||||
3819|simpatía|||||||
3820|violencia, caos|N;Abs||||||
3821|mercado, plaza|||||||
3822|(fine) arte, las artes|N;Abs||||||
3823|artista|N;Pe||||||
3824|Estados Unidos, E.U.A., EE.UU.|N;Nn||||||
3825|arroz|N;Cu||||||
3826|obra reciente, trabajo reciente|N;Abs||||||
3827|(d) mono, simio, chango|||||||
3828|pajilla (para sorber líquidos) (eng: straw), (am) popote|||||||
3829|paja|N;Ne||||||
3830|tesis, ensayo, tratado, "paper", artículo|N;Abs||||||
3831|relación, conexión, vínculo|N;Abs||||||
3832|descontento, insatisfecho|||||||
3833|senil|Ana||||||
3834|bebé|N;Pe||||||
3835|bronce|N;Ne||||||
3836|agricultores|||||||
3837|problemas, dificultades, sufrir, padecer, pasar dificultades, costar esfuerzos|N;Abs||||||
3838|pregunta, duda, adivinanza|N;Abs||||||
3839|signo de interrogación (?)|N;Abs||||||
3840|amor, afecto|N;Abs||||||
3841|tristeza|N;Abs||||||
3842|hija querida (propia)|N;Pe||||||
3843|esforzarse, gran esfuerzo, esfuerzo excesivo, esfuerzo|N;Ac||||||
3844|verbo|N;Abs||||||
3845|camarada, colega|||||||
3846|misma ciudad|N;Abs||||||
3847|pupila|N;An||||||
3848|accidente automovilístico|N;Abs||||||
3849|ir tan lejos, hasta ese extremo|CE||||||
3850|obediente, dócil, tranquilo|Ai||||||
3851|de alta velocidad|||||||
3852|restricción, limitación|N;Abs||||||
3853|reglamento escolar|N;Abs||||||
3854|oh, ah|||||||
3855|aproximadamente, más o menos|||||||
3856|solamente, solo|||||||
3857|(después de la forma -ta de un verbo) acabar de (terminar, etc.), solamente|||||||
3858|lado, parte|||||||
3859|(observar) caso|||||||
3860|hámster (eng:)|N;Abs||||||
3861|oportunidad, ocasión, chance|N;Abs||||||
3862|enseguida, pronto|||||||
3863|magnetismo|N;Abs||||||
3864|recuperación completa|N;Abs||||||
3865|secretario, encargado|N;Abs||||||
3866|supervisín, dirección, supervisar, dirigir, tutelar|N;Abs||||||
3867|piel, cuero, pelaje|N;Abs||||||
3868|piel, cuero|N;Abs||||||
3869|ofrenda floral|N;Abs||||||
3870|prefectura|N;Abs||||||
3871|contribución, donación|||||||
3872|fuselaje|N;Abs||||||
3873|menú|N;Abs||||||
3874|de repente|A;M||||||
3875|partes vitales|N;Abs||||||
3876|almuerzo escolar|N;Abs||||||
3877|es seguro que..., se puede decir con confianza que...|PP||||||
3878|de alguna manera, de todos modos, de una forma u otra|||||||
3879|consentimiento, asentimiento, comprensión, acuerdo|N;Abs||||||
3880|en el último momento, tiempo de morirse|N;Abs||||||
3881|instrucción, mandato|N;Abs||||||
3882|firma, compañía|N;Abs||||||
3883|referencias|N;Abs||||||
3884|o, o si no, o bien|||||||
3885|terraza|||||||
3886|transparencia, claridad, translucidez|||||||
3887|capullo (de flor), nivel de aprendiz|N;Abs||||||
3888|desesperación|||||||
3889|conocimiento, información|N;Abs||||||
3890|intelectual|N;Abs||||||
3891|periodo Daido (806-810)|||||||
3892|prolongación, ampliación, extensión, prorroga|N;Abs||||||
3893|era Enchou (923.4.11-931.4.26)|N;Abs||||||
3894|fusión, unificación|N;Abs||||||
3895|acuerdo, consentimiento, entendimiento mutuo|N;Abs||||||
3896|a la fuerza, por la fuerza, forzado|||||||
3897|maravilloso, magnífico, esplendor, pompa, extravagancia|||||||
3898|aprobar, pasar (examen), aprobar, pasar, superar con éxito (un examen, una asignatura, una inspección, etc.), cumplir con los requisitos exigidos|N;Abs||||||
3899|aleación|N;Abs||||||
3900|arrogancia|||||||
3901|tortura|N;Abs||||||
3902|racionalización|N;Abs||||||
3903|confluencia, reunión|||||||
3904|piel|||||||
3905|ropa interior|N;Abs||||||
3906|color de la piel|N;Abs||||||
3907|desnudo, desnudez|N;Abs||||||
3908|donar|VsuT||||||
3909|pronto, muy pronto|A||||||
3910|arcén|N;Abs||||||
3911|doceavo signo del zodiaco chino (El Jabalí, 9p.m.-11p.m., norte-noroeste, Octubre)|N;Abs||||||
3912|región de Kansai|||||||
3913|caras, elenco, nómina|N;Abs||||||
3914|cara, rasgos, facciones, rostro|N;Abs||||||
3915|semblante, fisonomía, tez|N;Abs||||||
3916|casa|N;Abs||||||
3917|avergonzado|N;Abs||||||
3918|conocido, persona conocida|N;Abs||||||
3919|conocido (desde hace buen tiempo)|N;Abs||||||
3920|caos (eng: chaos)|N;Abs||||||
3921|rostro, semblante|N;Abs||||||
3922|9, nueve, nueve|N;Ne||||||
3923|ballena|N;Abs||||||
3924|serpiente (signo del zodiaco chino)|N;Abs||||||
3925|cobardía, timidez|||||||
3926|cobarde|N;Abs||||||
3927|afuera|N;Abs||||||
3928|interior (bajo techo)|N;Abs||||||
3929|retraso, demora|N;Abs||||||
3930|parte final de una palabra que se escribe en hiragana (usado en verbos y adjetivos)|N;Abs||||||
3931|esposa, su esposa|N;Abs||||||
3932|célula (biología)|N;Abs||||||
3933|fisiología|N;Abs||||||
3934|establecimiento, formación|N;Abs||||||
3935|influencia, poder, fuerza, potencia, energía|N;Abs||||||
3936|energía, vigor, vitalidad|N;Abs||||||
3937|fresco, refrescante|||||||
3938|barco petrolero, buque petrolero|N;Abs||||||
3939|unidad de superficie de terreno, 3.31 metros cuadrados|N;Abs||||||
3940|garantía de securidad ej. (seguridad militar, red de seguridad, etc.|N;Abs||||||
3941|aparte, por separado|||||||
3942|alias, seudónimo|N;Abs||||||
3943|tema por separado|N;Abs||||||
3944|nada, nada en particular|A||||||
3945|por separado, aparte|A||||||
3946|seguridad, paz, tranquilidad|||||||
3947|insulto|N;Abs||||||
3948|ámbito (campo, área, dominio, división, terreno, esfera)|N;Abs||||||
3949|artículos de papelería|N;Abs||||||
3950|desintegración, desmontaje|N;Abs||||||
3951|libros de referencia, documentos|N;Abs||||||
3952|contexto, redacción|N;Abs||||||
3953|distribución, esparcimiento|N;Abs||||||
3954|grieta, ruptura, separación|N;Abs||||||
3955|clasificación|N;Abs||||||
3956|suma, cantidad|N;Abs||||||
3957|análisis|N;Abs||||||
3958|molécula, numerador|N;Abs||||||
3959|documento, escrito, carta, papeleo, trabajo administrativo, nota, registros, archivos|N;Abs||||||
3960|estilo literario|N;Abs||||||
3961|materiales incombustibles|N;Abs||||||
3962|sello, rúbrica|||||||
3963|rebeldía|N;Abs||||||
3964|delito, crimen|N;Abs||||||
3965|hoy|N;T||||||
3966|un décimo, un centésimo, uno porciento, un décimo de un sol, un cuarto de ryou (antigua moneda)|||||||
3967|una parte, una porción, una sección, algo|N;Abs||||||
3968|una copia (ej. de un documento)|N;Abs||||||
3969|una parte, una porción, una sección|N;Abs||||||
3970|confort|N;Abs||||||
3971|gripe, influenza|N;Abs||||||
3972|defectos|N;Abs||||||
3973|vaso sanguíneo|N;Abs||||||
3974|era moderna|N;Abs||||||
3975|moderno|Ana||||||
3976|éste, este tipo, esta persona|||||||
3977|esta gente|P||||||
3978|sin personas, de autoservicio|||||||
3979|oxígeno|N;Abs||||||
3980|pueblo de montaña|N;Abs||||||
3981|virus (lat:, ger:)|||||||
3982|a propósito, a drede|A||||||
3983|bifurcación, derivación de un camino, cruce, ramal, calle, calleja, callejuela, callejuela, calleja, cruce de caminos, encrucijada|N;Abs||||||
3984|prefijo: vice-, sub-|||||||
3985|buena fortuna|N;Abs||||||
3986|copia, duplicado|N;Abs||||||
3987|adverbio|N;Abs||||||
3988|asistencia social, seguro social|N;Abs||||||
3989|indumentaria, ropa|N;Abs||||||
3990|plural|N;Abs||||||
3991|exterior|N;Abs||||||
3992|gen (ger: Gen)|N;Abs||||||
3993|condición actual|N;Abs||||||
3994|fenómeno|N;Abs||||||
3995|glóbulo blanco, leucocito|N;Abs||||||
3996|leucemia|N;Abs||||||
3997|hemoglobina (eng: hemoglobin)|N;Abs||||||
3998|retirada social, rehuir de otra gente, gente que se retira de la sociedad (e.g., retirarse del país), quedarse en casa, retirada social, rechazar otra gente, gente que se retira de la sociedad (ej. retirarse del país), retirada social, huir de otra gente, gente que se retira de la sociedad (ej. retirarse del país)|N;Abs||||||
3999|noreste|N;Abs||||||
4000|cuchillo, filo, cuchillo|N;Abs||||||
4001|información, reportaje, periodismo|N;Abs||||||
4002|dialecto|N;Abs||||||
4003|escoba|N;Abs||||||
4004|dirección, camino|N;Abs||||||
4005|envoltura, embalaje, empaquetado|N;Abs||||||
4006|un animal, dos rollos curtidos de ropa, un animalito|N;Abs||||||
4007|adición, suma, incremento|||||||
4008|transitable, pasable, aceptable|Ana||||||
4009|departamento, sección|||||||
4010|(taxonomía) familia|||||||
4011|mosquito, zancudo|N;Abs||||||
4012|levantamiento de una prohibición|N;Abs||||||
4013|conclusión, terminación, consumación|N;Abs||||||
4014|burócrata, burocracia|N;Abs||||||
4015|materia, caso, articulo|N;Abs||||||
4016|(y, en suma, concurrentemente|PP||||||
4017|espada, espada, sable, cuchilla, bayoneta, aguijón, reloj de mano|N;Abs||||||
4018|autoridad, el derecho (de hacer algo)|N;Sx||||||
4019|Irlanda del Norte (eng: Northern Ireland)|||||||
4020|provincias del norte, países norteños|N;Abs||||||
4021|viento del norte|N;Abs||||||
4022|eliminación, exterminación, exterminio|N;Abs||||||
4023|queja, reclamación|N;Abs||||||
4024|por alguna razón, sin saber por qué|A||||||
4025|porque|PP||||||
4026|boca grande, gran boca, boca completamente abierta, exageración, fanfarronada, baladronada|N;Abs||||||
4027|Ministerio de Finanzas|N;Abs||||||
4028|Ministro de la Tesoreria de Japón|||||||
4029|Cero, cero|N;Abs||||||
4030|excepción|N;Abs||||||
4031|cortesía, buena educación, buenos modos|N;Abs||||||
4032|adoración, culto|||||||
4033|crueldad, cruel, despiadado, implacable|||||||
4034|calma, compostura, serenidad|||||||
4035|frialdad, indiferencia|||||||
4036|congelado|N;Abs||||||
4037|bacteria, bacilo, germen|N;Abs||||||
4038|fresco, refrescante|||||||
4039|invasión, intrusión, penetración|N;Abs||||||
4040|acceso, aproximación, entrada|N;Abs||||||
4041|la franqueza|||||||
4042|de todos modos, en cualquier caso|A;M||||||
4043|sin descanso, sin piedad|A||||||
4044|si me permito (hacer, decir)|A||||||
4045|pruebas, testimonio|||||||
4046|testificar (norm. en un contexto religioso cristiano), declarar, sufijo: certificado, prueba, demostración|||||||
4047|objetivo, dirección, propósito, esperanzas|||||||
4048|(eng: band) banda, pandilla|N;Abs||||||
4049|comienzo, inicio|||||||
4050|torpe, falta de pericia, falta de capacidad|||||||
4051|inauguración de una construcción|N;Abs||||||
4052|acometer una tarea, emprender, empezar, iniciar, comenzar, ponerse manos a la obra, comienzo, inicio|N;Abs||||||
4053|reto, desafío|N;Abs||||||
4054|escape, huida|N;Abs||||||
4055|aire|||||||
4056|bolsa de aire|N;Abs||||||
4057|correo aéreo (eng: air mail), correo aéreo|N;Abs||||||
4058|aerobic (eng: aerobics)|N;Abs||||||
4059|aerosol (eng:)|N;Abs||||||
4060|interpretación, ejecución (artistica), representación (teatral), actuación|N;Abs||||||
4061|tocar (instrumento musical), interpretar o ejecutar una obra musical, interpretación musical, ejecutar, interpretar, tocar|N;Abs||||||
4062|voces, ruido de voces|N;Abs||||||
4063|lenguaje coloquial|N;Abs||||||
4064|orilla|N;Abs||||||
4065|el primer ~|||||||
4066|un invento (una invención, una creación)|||||||
4067|cobardía, mezquindad, injusticia|||||||
4068|malo, vil, juego sucio, cobarde|||||||
4069|comienzo, origen|N;Abs||||||
4070|reputación, valoración, evaluación|N;Abs||||||
4071|sustancia ajena, cuerpo ajeno, xeno|N;Abs||||||
4072|reliquia, momento|N;Abs||||||
4073|especie, tipo, variedad|||||||
4074|tanka, poema|N;Abs||||||
4075|momento, instante|N;Abs||||||
4076|vuelta una vez, una revolución, una vuelta, una rotación, un año completo|N;Abs||||||
4077|una semana|N;Abs||||||
4078|un año completo|N;Abs||||||
4079|dirigir, ejercer, practicar, llevar|VmuT||||||
4080|oficina de información, departamento de inteligencia|N;Abs||||||
4081|(la) sociedad de la información|N;Abs||||||
4082|tema, cuestiones, problemas|N;Abs||||||
4083|aprobación, consentimiento, acuerdo, solución|N;Abs||||||
4084|milagro, prodigio|N;Abs||||||
4085|iluminación, instrucción, enseñanza|N;Abs||||||
4086|dirección (aproximada), cálculo, conjetura, apreciación|||||||
4087|final, conclusión|N;Abs||||||
4088|motivo, detonante, desencadenante, origen, oportunidad, ocasión, signo, señal, marca|||||||
4089|declaración, alegación, anunciación|N;Abs||||||
4090|antígeno|N;Abs||||||
4091|meseta|N;Abs||||||
4092|tutela|N;Abs||||||
4093|contribuir, aportar, aportación, contribución|N;Abs||||||
4094|maravilla|N;Abs||||||
4095|muslo, entrepierna, bifurcación de un camino|N;Abs||||||
4096|cruzar de un salto|VguT||||||
4097|o, de otro modo|PP||||||
4098|prospecto|N;Abs||||||
4099|cotización, estimación, evaluación, avalúo|N;Abs||||||
4100|reto, desafío, problema difícil|N;Abs||||||
4101|(eng: new) nuevo|N;Abs||||||
4102|calma, serenidad, compostura|N;Abs||||||
4103|beneficio, ganancias|N;Abs||||||
4104|costura|N;Abs||||||
4105|tomar, adoptar, adopción, discreción|N;Abs||||||
4106|adopción, acogimiento, empleo|N;Abs||||||
4107|dirección oeste|N;Abs||||||
4108|fresco|||||||
4109|toque final, acabado|N;Abs||||||
4110|acabado, remate, toque final|N;Abs||||||
4111|dispositivo, mecanismo, truco|N;Abs||||||
4112|nuevo|||||||
